SOURCE_DATASET,ID_1,ID_2,NORMALIZED_1,NORMALIZED_2,TITLE_1,TITLE_2,AUTHOR_1,AUTHOR_2,BEGIN_PUBLICATION_DATE_1,BEGIN_PUBLICATION_DATE_2,SIMILARITY_SCORE
Concordia_Results_Oct24,89,90,guidedeluniversite&dadmission1981--uuuu,guidedeluniversite&dadmission1983--uuuu,"Guide de l'Université & d'admission, [1981].","Guide de l'Université & d'admission, [1983].",,,uuuu,uuuu,97.43589743589743
Concordia_Results_Oct24,89,92,guidedeluniversite&dadmission1981--uuuu,guidedeluniversite&dadmission1985--uuuu,"Guide de l'Université & d'admission, [1981].","[Guide de l'Université & d'admission, 1985].",,,uuuu,uuuu,97.43589743589743
Concordia_Results_Oct24,89,93,guidedeluniversite&dadmission1981--uuuu,guidedeluniversite&dadmission1986--uuuu,"Guide de l'Université & d'admission, [1981].","[Guide de l'Université & d'admission, 1986].",,,uuuu,uuuu,97.43589743589743
Concordia_Results_Oct24,90,92,guidedeluniversite&dadmission1983--uuuu,guidedeluniversite&dadmission1985--uuuu,"Guide de l'Université & d'admission, [1983].","[Guide de l'Université & d'admission, 1985].",,,uuuu,uuuu,97.43589743589743
Concordia_Results_Oct24,90,93,guidedeluniversite&dadmission1983--uuuu,guidedeluniversite&dadmission1986--uuuu,"Guide de l'Université & d'admission, [1983].","[Guide de l'Université & d'admission, 1986].",,,uuuu,uuuu,97.43589743589743
Concordia_Results_Oct24,92,93,guidedeluniversite&dadmission1985--uuuu,guidedeluniversite&dadmission1986--uuuu,"[Guide de l'Université & d'admission, 1985].","[Guide de l'Université & d'admission, 1986].",,,uuuu,uuuu,97.43589743589743
Laval_Results_Oct20,3820,3821,lemythedeprometheedanslalitteraturefrancaiscontemporaine19001960-prem-1964,lemythedeprometheedanslalitteraturefrancaisecontemporaine19001960-prem-1964,"Le mythe de Prométhée dans la littérature français contemporaine, 1900-1960.",Le mythe de Prométhée dans la littérature française contemporaine (1900-1960).,"Prémont, Laurent.","Prémont, Laurent.",1964,1964,99.32885906040269
Laval_Results_Oct20,828,829,cridalarmelacivilisationscientifiqueetlescanadiensfrancais--1963,cridalarmelacivilisationscientifiqueetlescanadiensfrancaise--1963,Cri d'alarme...la civilisation scientifique et les canadiens français /,Cri d'alarme,,,1963,1963,99.2248062015504
Laval_Results_Oct20,6810,6809,testlavalformuleatestdeclassementfrancaislangueseconde--1971,testlavalformuleactestdeclassementfrancaislangueseconde--1971,"Test Laval, formule A :",Test Laval :,,,1971,1971,99.17355371900827
Laval_Results_Oct20,3407,3408,lavietraditionelleasaintpierreiledorleans-daws-1960,lavietraditionnelleasaintpierreiledorleans-daws-1960,La vie traditionelle a Saint-Pierre (ile d'Orleans).,La vie traditionnelle à Saint-Pierre (île d'Orléans) /,"Dawson, Nora.","Dawson, Nora.",1960,1960,99.02912621359224
Laval_Results_Oct20,650,651,commentpresenteruntextephilosophique-blan-1970,commentpresenteruntextephilosphique-blan-1970,Comment presenter un texte philosophique.,Comment présenter un texte philosphique.,"Blanchet, Louis Emile,","Blanchet, Louis Émile,",1970,1970,98.9010989010989
