ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
1,100days-bite-2016,100 days /,,"Bitek, Juliane Okot,",,,,2016,,,,,,,pages cm.,"1772121215, 9781772121216",919683218,,,YES,YES,,YES,,,,YES,,,YES,,YES,,,,BROCK-400 MEMORIAL-359 TORONTO-625 LAC-661 CALGARY-849 QUEENS-500 TORONTO-1164,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
3,10daysthatshapedmoderncanada-hugh-2022,10 days that shaped modern Canada /,,"Hughes, Aaron W.,",,1968-,,2022,,[2022];©2022,,"Edmonton, Alberta, Canada :",,"University of Alberta Press,","xv, 260 pages","1772126322, 9781772126327, 9781772126624, 9781772126631",1292971638,,,,,,YES,,,,,,,,,,,,,LAC-823,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,20thcenturycanadianarcticexpeditions-mini-2013,20th century Canadian Arctic expeditions :  /,,"Minion, Robin",,,,2013,1996.,,Edmonton :,,"Canadian Circumpolar Institute,",,,,,,,,YES,,,,,,,,,,,,,,,CALGARY-500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,22ndpolarlibrariescolloquycurrentsofchangethefutureofpolarinformationjune26--2010,The 22nd Polar Libraries Colloquy :,"currents of change : the future of polar information : June 2-6, 2008, Edmonton, Alberta, Canada : proceedings /",,,,,2010,c2010.,,Edmonton :,,"CCI Press,",,"viii, 220 p. :","1772121711, 1896445535, 9781772121711, 9781896445533","691743829, 9781896445533, 1131517457",,,,YES,,YES,YES,,YES,,,,YES,,YES,YES,YES,,TORONTO-520 LAC-576 UBC-434 CALGARY-122 UALBERTA-630 LAVAL-45 MCGILL-386 QUEENS-294,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
6,35thannualinternationalarcticworkshop9th12thmarch2005universityofalbertaedm--2005,The 35th Annual International Arctic Workshop :,"9th-12th March, 2005, University of Alberta, Edmonton, Alberta : [programme & abstracts] /",,,,,2005,2005.,,"Edmonton, Alta. :",,"Canadian Circumpolar Institute,",,114 p. :,"1896445349, 9781896445342",150682134,,,,YES,,,,,,,,,,,,YES,,,CALGARY-227 UALBERTA-680,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
7,abecedarium-cool-2014,Abecedarium /,,"Cooley, Dennis,",,1944-,First edition,2014,2014.,,"Edmonton, Alta. :",,"University of Alberta Press,",,149 p.,"0888646453, 9780888646453, 9780888648273",857981080,,,,YES,,,,YES,,,,,,,YES,YES,,,TORONTO-452 CALGARY-438 UALBERTA-696 MANITOBA-473,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
8,aboriginalpopulationssocialdemographic&epidemiologicalperspectives--2014,Aboriginal populations :,"social, demographic & epidemiological perspectives /",,,,,2014,,2014.,,"Edmonton, Alberta :",,"University of Alberta Press,",550 pages :,"0888646259, 9780888646255",864086370,,,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,,,OTTAWA-313 CALGARY-243 BROCK-395 MEMORIAL-425 TORONTO-304 TORONTO-1061 LAC-622 UALBERTA-698 CONCORDIA-214 MCGILL-434 MONTREAL-170 REGINA-98,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
11,abouttheharrowingofhellslovoozbureniupeklaaseventeenthcenturyukrainianplayi--1988,About the Harrowing of Hell =,Slovo o zbureniu pekla : a seventeenth-century Ukrainian play in its European context /,,,,,1988,1988.,,Ottawa :;Edmonton :,,"Dovehouse Editions ;;Canadian Institute of Ukrainian Studies,",,213 p. :,091947389X,"977050104, 977556267",880902345,,,,,,,,,,,,,,YES,,,,TORONTO-132 TORONTO-408 TORONTO-192,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,adaptedphysicalactivity--2003,Adapted physical activity /,,,,,,2003,c2003.,,Edmonton :,,"University of Alberta Press,",,"xxxvi, 650 p. :","0888643756, 9780888643759","52375642, 154661405",,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,BROCK-173 MEMORIAL-180 TORONTO-70 TORONTO-477 LAC-425 UBC-24 CALGARY-391 UALBERTA-483 CONCORDIA-126 MANITOBA-423 MCGILL-265 MONTREAL-16 QUEENS-529 REGINA-250 WILFRIDLAURIER-179 OTTAWA-10 OTTAWA-29,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
14,adaptivemanagementinthecanadiannorthaproposaltotheenvironmenteconomycompone--1993,Adaptive management in the Canadian North :,a proposal to the environment/economy component of the Arctic Environmental Strategy.,,,,,1993,1993?],,"[Edmonton, Alta. :",,"Canadian Circumpolar Institute,",,1 v. (various pagings) :,,46488387,,,,,,,,,,,,,,,,YES,,,UALBERTA-422,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
