ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
1,25yearsofedtech-well-2020,25 years of ed tech /,,"Weller, Martin,",,,,2020,,2020.,,"Edmonton, Alberta :",,"AU Press,",210 pages :,"1771993057, 9781771993050, 9781771993067, 9781771993074, 9781771993081",1130308196,,YES,YES,YES,,YES,,,,YES,,,,YES,YES,YES,,,ATHABASCA-141 BROCK-76 MEMORIAL-72 TORONTO-61 LAC-146 CALGARY-98 UALBERTA-95 REGINA-57,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
2,abcsofhumansurvivalaparadigmforglobalcitizenship-clar-2010,The ABCs of human survival :,a paradigm for global citizenship /,"Clark, Arthur,",,1943-,,2010,c2010.,,Edmonton :,,"AU Press,",,"xviii, 261 p.","1897425686, 9781897425688",531018296,,YES,,YES,,YES,,,YES,,,YES,YES,YES,YES,YES,YES,,ATHABASCA-30 TORONTO-101 LAC-34 UBC-36 CALGARY-75 UALBERTA-25 MCGILL-75 REGINA-12 TORONTO-76 QUEENS-23 OTTAWA-38,11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
4,accessibleelementsteachingscienceonlineandatadistance-kenn-2009,Accessible elements :,teaching science online and at a distance /,"Kennepohl, Dietmar Karl,",,,,2009,c2010.,,"Edmonton, AB :",,"AU Press,",,"xxv, 282 p. :",9781897425473,,,YES,YES,YES,,YES,,,YES,,,,,,YES,YES,YES,,TORONTO-74 ATHABASCA-23 BROCK-12 LAC-27 UBC-20 CALGARY-71 UALBERTA-17 MCGILL-6 TORONTO-103,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
7,acutecarenursepractitioneratransformationaljourney-rash-2013,The acute-care nurse practitioner :,a transformational journey /,"Rashotte, Judy,",,1952-,,2013,c2013.,,Edmonton :,,"AU Press,",,"ix, 277 p. :","1927356261, 9781927356265","870326821, 880914718",,YES,,,,YES,YES,,,,,YES,,,YES,,YES,,ATHABASCA-86 TORONTO-5 LAC-92 UBC-73 LAVAL-30 OTTAWA-13,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
8,albertaoilandthedeclineofdemocracyincanada--2013,Alberta oil and the decline of democracy in Canada   /,,,,,,2013,c2015.,,Edmonton :,,"AU Press,",,,9781771990295,,,YES,YES,YES,YES,YES,,,YES,YES,,,,,YES,YES,,,CALGARY-94 ATHABASCA-101 BROCK-44 MEMORIAL-57 TORONTO-159 LAC-104 CALGARY-40 UALBERTA-84 CONCORDIA-38 MCGILL-7,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
10,albertasdaycarecontroversyfrom1908to2009andbeyond-lang-2010,Alberta's day care controversy :,from 1908 to 2009-- and beyond /,"Langford, Tom.",,,,2010,c2011.,,"Edmonton, AB :",,"AU Press,",,"xviii, 406 p.",9781926836027,663714182,,YES,YES,YES,YES,YES,,YES,YES,YES,,,YES,YES,YES,YES,YES,YES,TORONTO-93 ATHABASCA-42 BROCK-24 MEMORIAL-15 TORONTO-154 LAC-43 UBC-34 CALGARY-8 UALBERTA-29 CONCORDIA-15 MANITOBA-8 MCGILL-8 QUEENS-31 REGINA-18 WILFRIDLAURIER-16,15,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
12,albertaslowerathabascabasinarchaeologyandpalaeoenvironments--2017,Alberta's lower Athabasca basin :,archaeology and palaeoenvironments /,,,,,2017,,©2017.,,Edmonton :,,AU Press.,"vi, 559 pages :","1926836901, 9781926836904, 9781926836911, 9781926836918, 9781926836928","784293048, 1012937206",,YES,YES,YES,,YES,,,YES,,YES,,,YES,YES,YES,,,ATHABASCA-121 BROCK-60 TORONTO-104 LAC-71 CALGARY-48 UALBERTA-89 MCGILL-9 MONTREAL-22 REGINA-53,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
13,americanlabourscoldwarabroadfromdeepfreezetodetente19451970-care-2018,American labour's Cold War abroad :,"from deep freeze to détente, 1945-1970 /","Carew, Anthony,",,1943-,,2018,,©2018.,,"Edmonton, Alberta :",,AU Press.,"xviii, 519 pages :","1771992115, 9781771992114, 9781771992121, 9781771992138","1013590736, 1101798995",,YES,YES,YES,,YES,,,,,,,,,YES,,,,ATHABASCA-133 BROCK-71 TORONTO-120 LAC-127 CALGARY-81,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
14,ammasdaughtersamemoir-shri-2018,Amma's daughters :,a memoir /,"Shrivastava, Meenal,",,1971-,,2018,,©2018.,,"Edmonton, Alberta :",,Athabasca University Press.,"xiv, 312 pages :","177199195X, 9781771991957, 9781771991964, 9781771991971","995078787, 1002661237",,YES,YES,YES,,YES,,,,,,,,,YES,,,,ATHABASCA-132 BROCK-69 TORONTO-106 LAC-123 CALGARY-129,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
15,anatomyofethicalleadershiptoleadourorganizationsinaconscientiousandauthenti-lang-2011,The anatomy of ethical leadership :,to lead our organizations in a conscientious and authentic manner /,"Langlois, Lyse,",,1964-,,2011,c2011.,,Edmonton :,,"AU Press,",,"xv, 120 p. :","1897425740, 1897425759, 1926836359, 9781897425749, 9781897425756, 9781926836355","687883986, 852731944",,YES,,YES,,YES,YES,,YES,YES,,,YES,,YES,YES,,,ATHABASCA-49 MEMORIAL-11 TORONTO-60 LAC-46 CALGARY-14 UALBERTA-44 LAVAL-31 MCGILL-76 QUEENS-38,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
