ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
23,alicemunropapersfirstaccessionaninventoryofthearchiveattheuniversityofcalga--1986,"The Alice Munro papers, first accession :",an inventory of the archive at the University of Calgary Libraries /,,,,,1986,1986.,,Calgary :,,"University of Calgary Press,",,"xxxv, 211 p. :","0919813445, 9780919813441",18589129,,YES,,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,MEMORIAL-231 TORONTO-205 LAC-40 UBC-6 UBC-38 CALGARY-367 UALBERTA-4 CONCORDIA-17 MCGILL-268 QUEENS-8 REGINA-88 OTTAWA-67 CALGARY-68 MEMORIAL-51 TORONTO-129 LAC-141 UBC-176 CALGARY-466 UALBERTA-7 MCGILL-314 QUEENS-109 REGINA-90 OTTAWA-200 ATHABASCA-11 MEMORIAL-209 TORONTO-223 TORONTO-517 LAC-18 UBC-244 CALGARY-256 UALBERTA-61 CONCORDIA-10 MANITOBA-118 MCGILL-321 QUEENS-104 REGINA-183 OTTAWA-61 CALGARY-91 ATHABASCA-13 MEMORIAL-129 TORONTO-255 TORONTO-423 LAC-49 UBC-4 CALGARY-566 UALBERTA-63 CONCORDIA-20 MANITOBA-102 MCGILL-267 QUEENS-107 REGINA-89 OTTAWA-190,14,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
24,alicemunropaperssecondaccessionaninventoryofthearchiveattheuniversityofcalg--1987,"The Alice Munro papers, second accession :",an inventory of the archive at the University of Calgary Libraries /,,,,,1987,c1987.,,Calgary :,,"University of Calgary Press,",,"xxi, 222 pages","0919813526, 9780919813526",16981912,,YES,,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,ATHABASCA-13 MEMORIAL-129 TORONTO-255 TORONTO-423 LAC-49 UBC-4 CALGARY-566 UALBERTA-63 CONCORDIA-20 MANITOBA-102 MCGILL-267 QUEENS-107 REGINA-89 OTTAWA-190 MEMORIAL-231 TORONTO-205 LAC-40 UBC-6 UBC-38 CALGARY-367 UALBERTA-4 CONCORDIA-17 MCGILL-268 QUEENS-8 REGINA-88 OTTAWA-67 CALGARY-68,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
68,athabascauniversitytheevolutionofdistanceeducation-byrn-1989,Athabasca University :,the evolution of distance education /,"Byrne, T. C.","(Timothy Clarke),",1907-,,1989,c1989.,,Calgary :,,"University of Calgary Press,",,"x, 137 p.","0585172331, 0919813518, 9780919813519","25964112, 606081797, 423453257",,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,YES,YES,YES,,CALGARY-475 ATHABASCA-24 BROCK-237 TORONTO-106 LAC-86 UBC-10 UALBERTA-20 CONCORDIA-32 MANITOBA-65 MCGILL-30 MONTREAL-33 REGINA-84 OTTAWA-301,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
206,constanceberesfordhowepapersaninventoryofthearchiveattheuniversityofcalgary--1996,The Constance Beresford-Howe papers :,an inventory of the archive at the University of Calgary Library /,,,,,1996,1996.,,Calgary :,,"University of Calgary Press,",,"xlii, 87 pages :","1895176700, 9781895176704","35878652, 751642154",,,,YES,,YES,,,YES,YES,,,YES,YES,YES,YES,YES,,TORONTO-96 LAC-169 CALGARY-343 UALBERTA-104 MCGILL-302 QUEENS-30 MEMORIAL-105 MEMORIAL-208 TORONTO-586 LAC-154 UBC-68 CALGARY-547 UALBERTA-97 QUEENS-29 REGINA-20,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
214,cowboysranchersandthecattlebusinesscrossborderperspectivesonranchinghistory--1999,"Cowboys, ranchers and the cattle business :",cross-border perspectives on ranching history /,,,,,1999,[1999?].,,Calgary :,,"University of Calgary Press :;Boulder, Colo.,",,"xiv, 232 p., [8] p. of plates :","0585284679, 155238019X, 9781552380192",428072021,,YES,YES,YES,,YES,,YES,YES,YES,,,YES,,YES,YES,YES,,CALGARY-267 BROCK-253 MCGILL-70 ATHABASCA-58 MEMORIAL-253 TORONTO-74 LAC-192 LAC-526 UBC-73 CALGARY-351 UALBERTA-158 MANITOBA-49 QUEENS-140,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
258,electrifyingcalgaryacenturyofpublic&privatepower-hawk-1987,Electrifying Calgary :,a century of public & private power /,"Hawkins, William,",,1922-,,1987,1987.,,Calgary :,,"University of Calgary Press,",,"xiii, 271 p. :","0919813437, 9780919813434","20930914, 757064549",,YES,,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,YES,,CALGARY-169 ATHABASCA-21 MEMORIAL-246 TORONTO-132 LAC-63 UBC-95 UALBERTA-3 LAVAL-44 MCGILL-87 QUEENS-9 OTTAWA-283,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
413,hughmaclennanpapersaninventoryofthearchiveattheuniversityofcalgarylibraries--1986,The Hugh MacLennan papers :,an inventory of the archive at the University of Calgary Libraries /,,,,,1986,c1986.,,Calgary :,,"University of Calgary Press,",,"xxx, 161, [1] p., [1] leaf of plates :","0585121125, 0919813399, 9780919813397",15273476,,YES,,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,ATHABASCA-16 MEMORIAL-135 TORONTO-485 LAC-54 CALGARY-163 UALBERTA-67 CONCORDIA-24 MANITOBA-154 MCGILL-326 QUEENS-208 REGINA-7 OTTAWA-195 TORONTO-34 TORONTO-363 UBC-135 CALGARY-61 UALBERTA-59 CONCORDIA-11 MANITOBA-157 MCGILL-298 QUEENS-105 OTTAWA-187 ATHABASCA-10 MEMORIAL-212 LAC-30 REGINA-2,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
535,makingofthemodernwestwesterncanadasince1945--1984,The making of the modern West :,Western Canada since 1945 /,,,,,1984,c1984.,,Calgary :,,"University of Calgary Press,",,"iv, 231 p. :","0919813046, 9780919813045","12611944, 424099742",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,CALGARY-572 ATHABASCA-2 BROCK-233 MEMORIAL-149 TORONTO-334 LAC-4 UBC-174 CALGARY-247 UALBERTA-95 CONCORDIA-6 LAVAL-157 MANITOBA-165 MCGILL-310 MONTREAL-36 QUEENS-203 WILFRIDLAURIER-105 OTTAWA-279,16,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
546,mauricedufaultviceprincipal-prim-2006,"Maurice Dufault, vice-principal /",,"Primeau, Marguerite-A.,",,1914-,,2006,c2006.,,Calgary :,,"University of Calgary Press,",,222 p.,"1552381633, 9781552381632",67860460,,,,YES,YES,YES,,YES,,,,,YES,YES,YES,YES,YES,,CALGARY-83 TORONTO-570 LAC-339 UBC-197 CALGARY-134 UALBERTA-296 CONCORDIA-130 MANITOBA-100 QUEENS-75 REGINA-144,9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
586,mordecairichlerpapersfirstaccessionaninventoryofthearchiveattheuniversityof--1987,"The Mordecai Richler papers, first accession :",an inventory of the archive at the University of Calgary Libraries /,,,,,1987,1987.,,Calgary :,,"University of Calgary Press,",,"xxxii, 471 pages","058507111X, 0919813542, 9780919813540",32894492,,YES,,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,ATHABASCA-13 MEMORIAL-129 TORONTO-255 TORONTO-423 LAC-49 UBC-4 CALGARY-566 UALBERTA-63 CONCORDIA-20 MANITOBA-102 MCGILL-267 QUEENS-107 REGINA-89 OTTAWA-190 ATHABASCA-11 MEMORIAL-209 TORONTO-223 TORONTO-517 LAC-18 UBC-244 CALGARY-256 UALBERTA-61 CONCORDIA-10 MANITOBA-118 MCGILL-321 QUEENS-104 REGINA-183 OTTAWA-61 CALGARY-91 MEMORIAL-51 TORONTO-129 LAC-141 UBC-176 CALGARY-466 UALBERTA-7 MCGILL-314 QUEENS-109 REGINA-90 OTTAWA-200,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
