ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
31,brunobobakselectedworks19431980brunobobakoeuvreschoisies19431980--1983,Bruno Bobak :,"selected works, 1943-1980 = Bruno Bobak, oeuvres choisies, 1943-1980.",,,,,1983,1983?],,"[Montréal, Qué. :",,"Concordia University,",,157 p. :,,65697806,,,,,,,,,,,,,,,YES,YES,,,TORONTO-37 UALBERTA-15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
211,tesljobguideahandbookforcanadiansseekingemploymentinthefieldofteachingengli--1990,A T.E.S.L. job guide :,a handbook for Canadians seeking employment in the field of teaching English as a second or foreign language at home or abroad /,,,,Rev. 3rd ed.,1990,1990.,,"Montréal, Québec :",,"Distributed by the TESL Centre, Concordia University,",,"x, 100, [16] p.",,221521705,,,,,,,,,,,,,,,YES,YES,,,UALBERTA-50 TORONTO-7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1,19391945hauntedbyimagesdrawingsandcommentaryoftheholocaust-kuja-2004,1939-1945 :,haunted by images : drawings and commentary of the Holocaust /,"Kujawski, Benjamin.",,,,2004,c2004.,,Montreal :,,"Concordia University Chair in Canadian Jewish Studies :;Montreal Institute for Genocide and Human Rights Studies,",,"71 p., [71] p. of plates :","08894742730, 0889474463",57299026,,,,,,,YES,,,,,,,YES,YES,YES,,,UALBERTA-76 UALBERTA-64 LAVAL-1 UALBERTA-48 LAVAL-10 UALBERTA-58 UALBERTA-57 UALBERTA-44 LAVAL-18 LAVAL-19 UALBERTA-36 UALBERTA-59 UALBERTA-41 LAVAL-20 UALBERTA-70 UALBERTA-53 UALBERTA-40 LAVAL-24 UALBERTA-52 UALBERTA-75 UALBERTA-37 TORONTO-10 UALBERTA-63 LAVAL-34 UALBERTA-39 UALBERTA-54 LAVAL-35 UALBERTA-49 UALBERTA-45 LAVAL-43 UALBERTA-38 LAVAL-44 UALBERTA-42 LAVAL-4 UALBERTA-78 UALBERTA-46 LAVAL-50 UALBERTA-47 LAVAL-51 REGINA-11 UALBERTA-43 LAVAL-53 UALBERTA-77 UALBERTA-55,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
2,19401990cinquanteansdedroitdevotedesfemmesauquebecpointsdevuedefemmesdequel--1993,"1940-1990, cinquante ans de droit de vote des femmes au Québec :",points de vue de femmes de quelques groupes minoritaires /,,,,,1993,1993.,,[Montréal] :,,"Université Concordia, Bureau du statut des femmes,",,"23 feuillets, [1] feuillet de planches plié :","0889470278, 9780889470279",31782860,,,,,,,,,,,YES,,,,,YES,,,MONTREAL-5 UALBERTA-28,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
3,25artists25yearscelebratingthefacultyoffinearts25artistes25anshommagealafac--2001,"25 artists, 25 years : celebrating the Faculty of Fine Arts =","25 artistes, 25 ans : hommage à la Faculté des beaux-arts.",,,,,2001,2001,,[Montréal] :,,"Leonard & Bina Ellen Art Gallery, Concordia University,",,folder ([8] p.) :,088947379X,936789800,,,,,,,,,,,,,,YES,YES,,,,TORONTO-13 REGINA-12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
5,accessibilityofhealthandsocialservicesforculturalcommunitiesinthemontrealme-ottm-1986,Accessibility of health and social services for cultural communities in the Montreal metropolitan area /,,"Ottmann-Clish, Liane,",,1937-,,1986,1986.,,Montreal :,,"Concordia University, Department of Political Science, M.A. Program in Public Policy and Administration,",,"vii, 111 feuillets","088947012X, 9780889470125",77443236,,,,,,,YES,,,,,,,,,,,,LAVAL-5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,afterimageevocationsoftheholocaustincontemporarycanadianartsandliterature--2002,Afterimage :,evocations of the Holocaust in contemporary Canadian arts and literature /,,,,,2002,c2002.,,"Montréal, Québec, Canada :",,"Concordia University Institute for Canadian Jewish Studies,",,"xv, 269 p. :",0889473900,51535821,2005362681,,,,,,,,,,,,,YES,YES,YES,,,REGINA-13 UALBERTA-65 TORONTO-11,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
12,andrewdutkewychcascadeseriesseptember15october21982sirgeorgewilliamsartgall-dutk-1982,Andrew Dutkewych :,"cascade series September 15-October 2, 1982, Sir George Williams Art Galleries, Concordia University ; 15 septembre-2 octobre 1982, Galeries d'art Sir George Williams, Université Concordia.","Dutkewych, Andrew,",,1944-,,1982,1982.,,[Montréal] :,,"Sir George Williams Concordia University,",,[12] p. :,2920394029,977603236,,,,,,,,,,,,,,,YES,,,,TORONTO-14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,annekahanedualities-kaha-1999,Anne Kahane :,dualities /,"Kahane, Anne.",,,,1999,[1999],,Montréal :,,"Leonard & Bina Ellen Art Gallery, Concordia University,",,32 p. :,2920394479,44683753,00363923,,,,,,YES,,,,,,,,YES,YES,,,UALBERTA-62 TORONTO-74 LAVAL-7,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
16,annesavageaugust15thseptember21st2002du15aoutau21septembre2002-sava-2002,Anne Savage :,"August 15th-September 21st, 2002 = du 15 août au 21 septembre 2002.","Savage, Anne,",,1896-1971.,,2002,[2002],,Montreal :,,"Leonard & Bina Ellen Art Gallery, Concordia University,",,21 p. :,2920394584,55744471,,,,,,,YES,,,,,,,,YES,YES,,,UALBERTA-73 TORONTO-62 LAVAL-8,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
