ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
26,arcticsmalltooltraditioninmanitoba-nash-1969,The Arctic small tool tradition in Manitoba /,,"Nash, Ronald J.",,,,1969,1969.,,Winnipeg :,,"University of Manitoba Press,",,"vii, 166 pages :","0887551041, 0887556027, 9780887551048, 9780887556029","28214, 301497477",73078430,,,YES,,YES,,YES,YES,YES,YES,YES,,,YES,YES,YES,,CALGARY-192 MEMORIAL-126 TORONTO-61 LAC-2 UBC-7 CALGARY-260 UALBERTA-46 MANITOBA-200 MCGILL-170 MONTREAL-14 OTTAWA-127,10,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
29,aslongastheriversrunhydroelectricdevelopmentandnativecommunitiesinwesternca-wald-1988,As long as the rivers run :,hydroelectric development and native communities in western Canada /,"Waldram, James B.",(James Burgess),,,1988,1988.,,Winnipeg :,,"University of Manitoba Press,",,,"0088755631, 0887551432, 0887556310, 9780887551437, 9780887556319","17877575, 980848914, 299428005",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,CALGARY-78 ATHABASCA-17 BROCK-96 MEMORIAL-143 TORONTO-206 LAC-70 UBC-3 CALGARY-202 UALBERTA-25 CONCORDIA-22 LAVAL-16 MANITOBA-47 MCGILL-25 MONTREAL-8 QUEENS-77 WILFRIDLAURIER-27 OTTAWA-66,16,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
32,atalohkananestatipacimowinacreelegendsandnarrativesfromthewestcoastofjamesb--2014,Âtalôhkâna nêsta tipâcimôwina =,Cree legends and narratives : from the west coast of James Bay /,,,,Paperback edition.,2014,2014.,,"Winnipeg, MB :",,"University of Manitoba Press,",,"xxxvi, 554 pages","0887557724, 9780887557729",892579618,,,YES,YES,,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,BROCK-21 MEMORIAL-8 LAC-88 UALBERTA-51 LAVAL-17 MANITOBA-12 MCGILL-26 QUEENS-22 OTTAWA-111 TORONTO-214 CALGARY-246 UBC-6 CALGARY-174 LAC-211 MANITOBA-166,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
37,attorneyforthefrontierenosstutsman-gibs-1983,Attorney for the frontier :,Enos Stutsman /,"Gibson, Dale.",,,,1983,c1983.,,Winnipeg :,,"University of Manitoba Press,",,180 pages :,"0887551319, 9780887551314","10030331, 421977540",,,,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,YES,,CALGARY-271 MEMORIAL-55 TORONTO-305 LAC-42 UBC-1 CALGARY-53 UALBERTA-18 CONCORDIA-12 LAVAL-18 MANITOBA-81 MCGILL-27 QUEENS-73 REGINA-52 TORONTO-26,13,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
49,bookofsettlementslandnamabok--1972,The book of settlements:,Landnámabók.,,,,,1972,1972],,"[Winnipeg,",,"University of Manitoba,",,"ix, 159 p.","0887551122, 9780887551123","976759504, 539099",,,,YES,YES,YES,,YES,YES,YES,,,,,YES,YES,,,MEMORIAL-159 LAC-249 TORONTO-50 LAC-9 CALGARY-142 UALBERTA-19 CONCORDIA-4 MANITOBA-218 MCGILL-171,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
96,dakotaofthecanadiannorthwestlessonsforsurvival-elia-1988,The Dakota of the Canadian northwest :,lessons for survival /,"Elias, Peter Douglas.",,,,1988,c1988.,,Winnipeg :,,"University of Manitoba Press,",,"xvii, 262 p., [12] p. of plates :","0887551424, 9780887551420","20690904, 300424295",,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,CALGARY-275 TORONTO-108 BROCK-8 MEMORIAL-149 TORONTO-196 LAC-74 UBC-17 CALGARY-266 UALBERTA-26 CONCORDIA-23 LAVAL-99 MANITOBA-104 MCGILL-176 MONTREAL-11 QUEENS-75 REGINA-35 WILFRIDLAURIER-24 OTTAWA-65,16,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
168,gatewaycitydocumentsonthecityofwinnipeg18731913--1979,Gateway city :,documents on the city of Winnipeg 1873-1913 /,,,,,1979,1979.,,Winnipeg :,,"Manitoba Record Society in association with the University of Manitoba Press,",,"xiv, 288 p. :",0887551203,6080603,,,YES,YES,,,,YES,,YES,,YES,YES,,,YES,,YES,CALGARY-74 BROCK-91 MEMORIAL-1 CALGARY-209 UALBERTA-206 MANITOBA-224 QUEENS-70 WILFRIDLAURIER-5 OTTAWA-5,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
178,guidetothestudyofmanitobalocalhistory-frie-1981,A guide to the study of Manitoba local history /,,"Friesen, Gerald.",,,,1981,c1981.,,Manitoba :,,"Published by the University of Manitoba Press for the Manitoba Historical Society,",,"viii, 182 p., [8] p. of plates :","0887551211, 0887556051, 9780887551215, 9780887556050","12312521, 395146978",81154418,YES,,YES,,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,CALGARY-190 ATHABASCA-8 MEMORIAL-67 TORONTO-103 LAC-52 UBC-42 CALGARY-15 UALBERTA-8 LAVAL-3 MANITOBA-23 MCGILL-6 QUEENS-63 OTTAWA-101,12,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
210,indianeuropeantraderelationsinthelowersaskatchewanriverregionto1840-this-1986,Indian-European trade relations in the Lower Saskatchewan River region to 1840 /,,"Thistle, Paul Clifford.",,,,1986,c1986.,,Winnipeg :,,"University of Manitoba Press,",,"xii, 136 p. :","088755105X, 9780887551055","15189579, 299412693",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,CALGARY-274 ATHABASCA-9 BROCK-98 MEMORIAL-131 TORONTO-155 LAC-58 UBC-43 CALGARY-165 UALBERTA-39 CONCORDIA-20 LAVAL-44 MANITOBA-45 MCGILL-77 MONTREAL-7 QUEENS-71 REGINA-47 WILFRIDLAURIER-22 OTTAWA-144,17,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
239,jumpmath1assessment&practice-migh-2009,JUMP Math 1 :,assessment & practice /,"Mighton, John,",,1957-,2009 ed.,2009,2009.,,"Toronto, ON :",,"JUMP Math,",,"2 workbooks, 2 teacher resources.","97818971206201, 97818971206372, 978189712064412",,,,,,,,,,,,,,,,YES,,,,TORONTO-44 TORONTO-211 TORONTO-69 TORONTO-191 TORONTO-73 TORONTO-192 TORONTO-193 TORONTO-43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
