ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
1,100questionsaboutwomenandpolitics-trem-2018,100 questions about women and politics /,,"Tremblay, Manon,",,,,2018,,[2018];©2015,,Montreal :,,"McGill-Queen's University Press,","viii, 311 pages","0773555021, 077355503X, 9780773555020, 9780773555037, 9780773555433, 9780773555440",1028881821,,,YES,YES,YES,YES,,,,YES,,,,,YES,,,,BROCK-1881 MEMORIAL-1850 TORONTO-3666 LAC-3624 CALGARY-191 CONCORDIA-1923,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2,100yearsofcanadianforeignpolicy--2009,100 years of Canadian foreign policy /,,,,,,2009,2009.,,"Montréal, Québec :",,"McGill-Queen's University Press,",,"xii, 400 p.","0773534342, 0773534385, 077357588X, 9780773534346, 9780773534384, 9780773575882","262719229, 1131530588, 320882144",,,YES,YES,YES,,YES,,YES,,YES,,,,YES,YES,,,CALGARY-1973 UALBERTA-1708 CONCORDIA-1238 LAVAL-15 MCGILL-16 BROCK-66 TORONTO-3166 MONTREAL-1368,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3
3,14daysmakingtheconservativemovementincanada-cars-2014,14 days :,making the Conservative movement in Canada /,"Carson, Bruce",,,,2014,,[2014];©2014.,,Montreal ;;Kingston :,,"McGill-Queen's University Press,","xiv, 329 pages :","0773543511, 0773591966, 0773591974, 9780773543515, 9780773591967, 9780773591974","864505104, 9780773543515, 894843704",,,YES,YES,YES,YES,YES,,YES,,,YES,YES,YES,YES,,,,BROCK-1471 TORONTO-3780 LAC-2986 CALGARY-1227 CONCORDIA-1584 LAVAL-16 MCGILL-17 QUEENS-1916 REGINA-309 OTTAWA-2194,10,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
4,1981picturecodingsymposiumsummariesofpresentationsjune351981leacockbuilding--1981,1981 Picture Coding Symposium :,"summaries of presentations, June 3-5, 1981, Leacock Building, McGill University, Montreal, Canada.",,,,,1981,[1981?],,[Montreal] :,,"[McGill University],",,"xvii, 151 pages :",,427102613,,,,,,,,,YES,,,,,,,,,,MCGILL-18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,1988canadaunitedstatesfreetradeagreementadynamicgeneralequilibriumevaluatio-harr-1989,The 1988 Canada-United States free trade agreement :,a dynamic general equilibrium evaluation of the transition effects /,"Harris, Richard G.",,,,1989,1989.,,"Kingston, Ont. :",,"Institute for Economic Research, Queen's University,",,56 pages,,1135195204,,,,,,,,,,,YES,,,,,,,,MONTREAL-2449,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,1995federalbudgetretrospectandprospect--1995,The 1995 federal budget :,retrospect and prospect /,,,,,1995,[1995].,,"Kingston, Ont. :;[Toronto] :",,"John Deutsch Institute for the Study of Economic Policy, Queen's University ;;Institute for Policy Analysis, University of Toronto,",,"viii, 205 p. :","0889116849, 9780889116849","35070176, 301129797",,,,,,,YES,,,,YES,,,,,YES,,,UALBERTA-3771 LAVAL-2362 MONTREAL-755,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
8,1997federalbudgetretrospectandprospect--1998,The 1997 federal budget :,retrospect and prospect /,,,,,1998,[1998],,"Kingston, Ont. :;[Toronto] :",,"John Deutsch Institute for the Study of Economic Policy, Queen's University ;;Institute for Policy Analysis, University of Toronto,",,"vi, 277 p. :","0889117721, 0889117748, 9780889117723, 9780889117747",869034074,96142935,,,,,,YES,,,,YES,,,,,YES,,,LAVAL-2363 UALBERTA-3895 MONTREAL-1820,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
10,2000federalbudgetretrospectandprospect--2000,The 2000 federal budget :,retrospect and prospect /,,,,,2000,[2000],,"Kingston, Ont. :",,"John Deutsch Institute for the Study of Economic Policy, Queen's University,",,"x, 204 p. :","0889118140, 0889118167, 9780889118140, 9780889118164","45190802, 757098222",,,,,,,,,,,YES,,,,,YES,,,UALBERTA-4013 MONTREAL-1542,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
11,2003federalbudgetconflictingtensions--2004,The 2003 federal budget :,conflicting tensions /,,,,,2004,[2004],,"Kingston, Ont. :;Montreal ;;Ithaca :",,"John Deutsch Institute for the Study of Economic Policy, Queen's University ;;Published in cooperation with McGill-Queen's University Press,",,"viii, 277 p. :","0889119562, 0889119589, 9780889119567, 9780889119581","54692907, 151276071",,,,,,,YES,,,,,,,,,YES,,,UALBERTA-4218 LAVAL-2364,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
12,2004medicineinthe21stcenturyaforwardlookfromqueens--1980,2004 :,medicine in the 21st century : a forward look from Queen's.,,,,,1980,1980?],,"[Kingston, Ont. :",,"Queen's University,",,"89 p., [3] p. of plates :",,70912259,,,,,,YES,,,,,,,,,,YES,,,LAC-537 UALBERTA-4254,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
14,2009federalbudgetchallengeresponseandretrospect--2010,The 2009 federal budget :,"challenge, response and retrospect /",,,,,2010,[2010],,"Kingston, Ont. :",,"John Deutsch Institute for the Study of Economic Policy, Queen's University,",,"viii, 352 p. :","1553391659, 1553391667, 9781553391654, 9781553391661","646566493, 716854069",,,,,,,YES,,,,YES,,,,,YES,,,UALBERTA-4392 LAVAL-2365 MONTREAL-1480,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
15,2010canadiandefenceindustryatacrossroads--2010,2010 :,Canadian defence industry at a crossroads? /,,,,,2010,2010.,,"Kingston, Ont. :",,"Defence Management Studies Program, School of Policy Studies, Queen's University,",,"xiii, 102 p. :","1553392957, 9781553392958",670421143,,,,,,,,,,,,,,,,YES,,,UALBERTA-4394,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,20thcenturytheoriesofart--1990,20th century theories of art /,,,,,,1990,1990.,,Ottawa :,,"Carleton University Press,",,"xvii, 547 p. :","0773596054, 0886291119, 0886291151, 9780773596054, 9780886291112, 9780886291150",20759971,,,,,,YES,,,YES,,,,,,,,,YES,LAC-628 MCGILL-19 WILFRIDLAURIER-716,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
