ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
1,advocacyandanthropologyfirstencounters--1985,Advocacy and anthropology :,first encounters /,,,,,1985,1985.,,"[St. John's, Nfld.] :",,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,275 pages,"0919666507, 9780919666504","18496330, 847426279, 869557911",,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,CALGARY-91 MEMORIAL-251 TORONTO-152 LAC-104 UBC-74 UALBERTA-31 CONCORDIA-35 LAVAL-31 MCGILL-42 MONTREAL-38 QUEENS-137 REGINA-16 WILFRIDLAURIER-26 OTTAWA-38,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
3,alaskassmallruralhighschoolsaretheyworking-klei-1985,Alaska's small rural high schools :,are they working? /,"Kleinfeld, Judith.",,,,1985,1985.,,"Anchorage, Alaska :",,"Institute of Social and Economic Research :;Center for Cross-Cultural Studies,",,"x, 149, 14 pages :","0883530384, 9780883530382",15643822,86622385,,,,,,,,YES,,,,,,,,,,MCGILL-35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,analysisandinterpretationofcanadianfinancialstatements-lang-1972,Analysis and interpretation of Canadian financial statements/,,"Langhout, Johannes.",,,,1972,[1972],,St. John's Nfld.:,,"University Press of Canada,",,252 p.,,,,,,,,,,,,,,,,,,,YES,,UBC-86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,analysisofthechurchillfallsprojectpolicetrafficenforcementsystem-onei-1973,Analysis of the Churchill Falls Project police traffic enforcement system /,,"O'Neill, Mollie G.",,,,1973,1973.,,St. John's :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"47 pages, 22 unnumbered leaves :",,455883589,,,,,,,,,,YES,,,,,,,,,MEMORIAL-4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,ancientpeopleofportauchoixtheexcavationofanarchaicindiancemetaryinnewfoundl-tuck-1976,Ancient people of Port au Choix : the excavation of an archaic Indian cemetary in Newfoundland.,,"Tuck, James A.",,,,1976,,[1976];©1976,,"[St. John's, Nfld.] :",,"Institute of Social and Economic Research, Memorial University of Newfoundland,","xi, 261 pages :",0919666124,,77351155,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,QUEENS-111 ATHABASCA-10 BROCK-1 MEMORIAL-244 LAC-12 UBC-18 CALGARY-32 UALBERTA-6 CONCORDIA-9 LAVAL-14 MANITOBA-22 MCGILL-12 MONTREAL-14 REGINA-4 WILFRIDLAURIER-15 OTTAWA-54 TORONTO-109,16,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
9,areadevelopmentagencyimpactstudyinnewfoundlandandlabrador-hurw-1969,Area Development Agency impact study in Newfoundland and Labrador /,,"Hurwitz, Nathan.",,,,1969,1969.,,St. John's :,,"Institute of Social and Economic Research, Memorial University,",,173 leaves :,,456329405,,,,,,,,,,YES,,,,,,,,,MEMORIAL-292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,aspectsofselectivemodernizationoccupationalspecializationordiversification-skol-1968,Aspects of selective modernization :,occupational specialization or diversification /,"Skolnik, Michael L.,",,1941-,,1968,,[1968?],,"[St. John's, Newfoundland Labrador] :",,"[Institute of Social and Economic Research, Memorial University of Newfoundland],",7 leaves,,,,,,,,,,,,YES,,,,,,,,,MEMORIAL-84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,attheheartofthematterourfamiliesandourfuture-glos-1994,At the heart of the matter :,our families and our future /,"Glossop, Robert.",,,,1994,1994.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"21 pages, 1 unnumbered page.",,35940102,,,,,,,,,,YES,,,YES,,,,,,MEMORIAL-228 QUEENS-178,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
12,belongingidentityandsocialorganisationinbritishruralcultures--1982,Belonging : identity and social organisation in British rural cultures.,,,,,,1982,1982.,,"St John's, Newfoundland :",,"Memorial University of Newfoundland, Institute of Social and Economic Research,",,"x, 325 p. : ill. ; 24 cm.","091966640X, 9780919666405",13628034,,,YES,YES,YES,YES,,,YES,YES,,YES,YES,,YES,YES,YES,,BROCK-6 MEMORIAL-281 TORONTO-16 TORONTO-65 TORONTO-177 LAC-33 UBC-20 CALGARY-81 UALBERTA-49 CONCORDIA-28 MCGILL-33 QUEENS-129 OTTAWA-64,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
13,belugahuntersanarchaeologicalreconstructionofthehistoryandcultureofthemacke-mcgh-1974,Beluga hunters :,an archaeological reconstruction of the history and culture of the Mackenzie Delta Kittegaryumiut /,"McGhee, Robert.",,,,1974,[1974],,[St. John's] :,,"Institute of Social and Economic Research, Memorial University,",,124 pages :,"0919666078, 9780919666078","1303372, 976632463",,,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,YES,YES,MEMORIAL-285 TORONTO-120 TORONTO-174 LAC-6 UBC-8 CALGARY-24 UALBERTA-2 CONCORDIA-5 MANITOBA-18 MCGILL-6 QUEENS-48 WILFRIDLAURIER-28 LAVAL-13 MONTREAL-12,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
15,benefitsandbeneficiariesadecisionmakingsimulationforoffshorehydrocarbondeve-smit-1993,Benefits and beneficiaries :,a decision making simulation for offshore hydrocarbon development /,"Smith, L. Graham,",,1956-,,1993,1993.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"1 volume (loose-leaf, various pagings) :",0889012423,456481914,,,,,,,,,,YES,,,,,,,,,MEMORIAL-265,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,bloodandnerves-davi-1983,Blood and nerves /,,"Davis, Dona Lee,",,1948-,,1983,1983.,,"St. John's, Nfld. :",,"Memorial University of Newfoundland.  Institute of Social and Economic Research,",,239 p. :,0919666418,10467798,,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,CALGARY-71 ATHABASCA-23 BROCK-33 MEMORIAL-315 TORONTO-15 TORONTO-19 LAC-27 UBC-21 UALBERTA-19 CONCORDIA-22 LAVAL-47 MCGILL-27 QUEENS-133 REGINA-38 OTTAWA-63 MONTREAL-32,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
19,bloodydecksandabumpercroptherhetoricofsealingcounterprotest-lams-1979,"""""""Bloody decks and a bumper crop"""" :""",the rhetoric of sealing counter protest /,"Lamson, Cynthia.",,,,1979,1979.,,St. John's :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"viii, 113 p. :","0919666353, 9780919666351","6353040, 239925719, 869513594",,,YES,YES,YES,YES,,,YES,YES,YES,YES,YES,,YES,YES,YES,YES,BROCK-46 MEMORIAL-78 TORONTO-168 LAC-21 UBC-13 CALGARY-111 UALBERTA-13 CONCORDIA-17 MCGILL-20 MONTREAL-36 QUEENS-38 WILFRIDLAURIER-17 OTTAWA-6,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
20,boatsfromhomefishsmackingtacticsandthemanagementofthelabradorfishery-palm-1995,The boats from home :,fish smacking tactics and the management of the Labrador fishery /,"Palmer, Craig T.",,,,1995,1995.,,"[St. John's, Nfld.] :",,"Institute of Social and Economic Research, Memorial university of Newfoundland,",,"23 pages, 1 unnumbered page.",,"59603740, 976693412",,,,,,,,,,YES,,,YES,,YES,,,,MEMORIAL-48 TORONTO-39 QUEENS-179,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
21,boundarymaintenanceamonglappishreindeernomads-pain-1971,Boundary maintenance among Lappish reindeer nomads.,,"Paine, Robert,",,1926-2010.,,1971,1971.,,St. John's :,,"[Institute of Social and Economic Research] Memorial University of Newfoundland,",,18 leaves :,,456458177,,,,,,,,,,YES,,,,,,,,,MEMORIAL-189,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,brazilsquareboardinghouselife-spar-1969,Brazil Square :,boarding-house life.,"Sparkes, Alan Thomas.",,,,1969,1969.,,St. John's :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,149 leaves :,,456458714,,,,,,,,,,YES,,,,,,,,,MEMORIAL-193,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,brieftotheroyalcommissiononlabrador-kenn-1973,Brief to the Royal Commission on Labrador /,,"Kennedy, John Charles.",,,,1973,1973.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,21 leaves.,,456416109,,,,,,,,,,YES,,,,,,,,,MEMORIAL-257,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,bringinghomeanimalsmistissinihuntersofnorthernquebec-tann-2014,Bringing home animals :,Mistissini hunters of northern Quebec /,"Tanner, Adrian",,,Second edition.,2014,,2014.;©2014.,,"St. John's, NL :",,"ISER Books,",368 pages :,"189472514X, 9781894725149",879120126,,,YES,YES,YES,,,,YES,YES,,,YES,,,,,,BROCK-105 MEMORIAL-306 CALGARY-93 CONCORDIA-82 MCGILL-98 QUEENS-194,6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
25,bringinghomeanimalsreligiousideologyandmodeofproductionofthemistassinicreeh-tann-1979,Bringing home animals :,religious ideology and mode of production of the Mistassini Cree hunters /,"Tanner, Adrian.",,,,1979,c1979.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"xx, 233 p. :","031209633X, 09039836721979, 0919666345, 9780312096335, 9780919666344","6618397, 976727177, 4832552, 300907087",,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,ATHABASCA-24 BROCK-48 MEMORIAL-169 TORONTO-139 LAC-19 LAC-22 UBC-14 UBC-71 UALBERTA-71 CONCORDIA-18 MANITOBA-4 MANITOBA-32 MCGILL-21 MONTREAL-6 QUEENS-122 OTTAWA-18 CALGARY-110,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
27,brothersandrivalspatrilocalityinsavagecove-fire-1967,Brothers and rivals :,patrilocality in Savage Cove /,"Firestone, Melvin M.",,,,1967,1967.,,St. John's :,,"Institute of Social and Economic Research,",,"ix, 143 pages :","0919666205, 9780919666207","219840684, 1524872, 977682485, 14020110, 869658659, 1087214876",,,,YES,,YES,,YES,YES,YES,YES,,YES,,YES,YES,YES,YES,MEMORIAL-119 MEMORIAL-259 TORONTO-29 TORONTO-148 LAC-94 UBC-101 CALGARY-107 UALBERTA-105 MANITOBA-58 MCGILL-34 MONTREAL-41 WILFRIDLAURIER-14 QUEENS-65,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
29,bureaucracyandworldviewstudiesinthelogicofofficialinterpretation--1978,Bureaucracy and world view :,studies in the logic of official interpretation /,,,,,1978,1978.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"viii, 143 pages","0919666159, 9780919666153","4551077, 869491519",,,YES,YES,YES,YES,,,YES,YES,YES,YES,YES,,YES,YES,YES,,BROCK-26 LAC-17 UBC-12 CALGARY-27 UALBERTA-12 CONCORDIA-14 MCGILL-17 MONTREAL-34 QUEENS-56 OTTAWA-8 MEMORIAL-279 TORONTO-102,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
32,cainslandrevisitedculturechangeincentrallabrador17751972-zimm-1975,Cain's land revisited :,"culture change in Central Labrador, 1775-1972 /","Zimmerly, David W.,",,1938-,,1975,1975.,,"St John's, Nfld. :",,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"xiii, 346 p. :","0919666116, 9780919666115","2287960, 1131647759, 462872456, 860783599",76368461,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ATHABASCA-9 BROCK-34 MEMORIAL-271 TORONTO-52 TORONTO-117 LAC-11 UBC-57 CALGARY-31 UALBERTA-70 UALBERTA-91 CONCORDIA-8 LAVAL-49 MANITOBA-10 MCGILL-11 MONTREAL-13 QUEENS-1 REGINA-8 WILFRIDLAURIER-1 OTTAWA-7 MEMORIAL-223,19,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
34,canadacomparedmulticulturalismandbiculturalisminsettlersocieties-pear-1994,Canada compared :,multiculturalism and biculturalism in settler societies /,"Pearson, David G.",,,,1994,1994.,,St. John's :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,71 pages.,,51295674,,,,,,,,,,YES,,,YES,,,,,,MEMORIAL-130 QUEENS-182,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
35,caribbeanimpressionsareporttosocialscienceresearchcouncilofcanada-pain-1968,Caribbean impressions :,a report to Social Science Research Council of Canada.,"Paine, Robert,",,1926-2010.,,1968,1968.,,[St. John's :,,"Institute of Social and Economic Research], Memorial University of Newfoundland,",,25 pages,,456329521,,,,,,,,,,YES,,,,,,,,,MEMORIAL-92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,catharbouranewfoundlandfishingsettlement-fari-1966,Cat Harbour :,a Newfoundland fishing settlement. /,"Faris, James C.",,,,1966,1966.,,St. John's :,,"Institute of Social and Economic Research, Memorial University of Nfld.,",,249 pages :,,"7041492, 977627303",,,,,,,,,,YES,,,,,YES,,YES,,MEMORIAL-141 TORONTO-149 UBC-100,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
37,catharbouranewfoundlandfishingsettlement-fari-1972,Cat Harbour :,a Newfoundland fishing settlement /,"Faris, James C.",,,[Rev. ed.].,1972,c1972.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"ix, 184 p. :",,"1339911, 227860918, 977061546",,,YES,YES,YES,,,YES,,YES,,YES,YES,,YES,YES,YES,YES,MEMORIAL-211 UALBERTA-50 BROCK-31 MEMORIAL-214 TORONTO-53 TORONTO-70 UBC-90 CALGARY-21 UALBERTA-103 CONCORDIA-102 MANITOBA-70 QUEENS-9 WILFRIDLAURIER-7 OTTAWA-15,12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
39,censusatlasofnewfoundland1971--1977,"Census atlas of Newfoundland, 1971.",,,,,,1977,c1977.,,"St. John's, Nfld. :",,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,136 pages in various pagings :,,"3293755, 2853663",77363027,,,YES,YES,,,YES,,YES,,,YES,YES,YES,YES,,,MEMORIAL-19 MEMORIAL-162 TORONTO-74 TORONTO-165 CALGARY-5 UALBERTA-93 CONCORDIA-103 MANITOBA-65 QUEENS-5 REGINA-25 ,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
40,challengeofoilnewfoundlandsquestforcontrolleddevelopment-hous-1985,The challenge of oil :,Newfoundland's quest for controlled development /,"House, J. D.","(John Douglas),",1944-,,1985,1985.,,"St. John's, Nfld. :",,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"329 pages, 8 unnumbered pages of plates :","0919666469, 9780919666467","13508147, 1131630954",,,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,MEMORIAL-321 TORONTO-63 LAC-32 UBC-25 CALGARY-74 UALBERTA-28 CONCORDIA-27 LAVAL-48 MANITOBA-40 MCGILL-32 QUEENS-46 WILFRIDLAURIER-50 OTTAWA-71,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
41,classandethnicityinacanadianminingtown-robb-1972,Class and ethnicity in a Canadian mining town.,,"Robbins, Edward Herschell,",,1944-,,1972,[1972?],,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,30 leaves.,,456416478,,,,,,,,,,YES,,,,,,,,,MEMORIAL-156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,coastalhinterlandsoftheindustrialstatecomparativeethnographyofthenorthernno--1976,Coastal hinterlands of the industrial state :,comparative ethnography of the northern North Atlantic Oikoumenê /,,,,,1976,1976.,,"St. John's, Nfld. :",,"Institute of Social and Economic Research,",,181 leaves.,,456476911,,,,,,,,,,YES,,,,,,,,,MEMORIAL-75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,coastsunderstresspolicyreflections-omme-2006,Coasts under stress :,policy reflections /,"Ommer, Rosemary E.",,,,2006,c2006.,,"St. John's, NL :",,"ISER,",,80 p.,"1894725050, 9781894725057",82172270,2006497165,,YES,,,YES,,,YES,YES,,,YES,,YES,,,,BROCK-98 MEMORIAL-79 MCGILL-85 TORONTO-185 LAC-91 QUEENS-189,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
45,communitiesandcommitteescommunitydevelopmentandtheenlargementofthesenseofco-wade-1969,Communities and committees :,"community development and the enlargement of the sense of community on Fogo Island, Newfoundland /","Wadel, Cato.",,,,1969,1969.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"49 pages, 1 unnumbered leaves :",,"15783205, 978087907",,,,,,,,,,YES,,,,,YES,,,,MEMORIAL-113 TORONTO-11,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
46,communitiesindeclineanexaminationofhouseholdresettlementinnewfoundland-iver-1968,Communities in decline; an examination of household resettlement in Newfoundland.,,"Iverson, Noel.",,,,1968,,1968.,,"St. John's Nfld.,",,"Institute of Social and Economic Research, Memorial University of Newfoundland,","v, 184 pages 28 cm.",,"861001, 7594352, 237353360",,,YES,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,BROCK-4 MEMORIAL-140 TORONTO-82 LAC-2 UBC-102 CALGARY-12 UALBERTA-107 CONCORDIA-100 MANITOBA-73 MCGILL-2 QUEENS-29 REGINA-24 OTTAWA-16 TORONTO-119,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
47,communitiesindeclineanexaminationofhouseholdresettlementinnewfoundland-iver-1979,Communities in decline :,an examination of household resettlement in Newfoundland /,"Iverson, Noel.",,,,1979,1979.,,"St. John's, Newfoundland :",,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,169 pages :,"0919666213, 9780919666214",455443904,2009437968,,,,,,,,,YES,,,,,,YES,,,MEMORIAL-183 UALBERTA-53,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
49,communitygeographicalsurveysthenortheastcoastthesouthernavalonthenorthernst-head-1963,Community geographical surveys :,"the North-east coast, the Southern Avalon, the Northern St. Barbe ; a study under ARDA /","Head, C. Grant,",,1939-,,1963,1963.,,St. John's :,,"The Institute of Social and Economic Research, Memorial University of Newfoundland,",,199 4 unnumbered leaves.,,10587195,,,,,,,,,,YES,,,,,YES,,,,MEMORIAL-143 TORONTO-181,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
50,communityparticipationinbeaufortseahydrocarbondevelopments-durs-1991,Community participation in Beaufort Sea hydrocarbon developments /,,"Durst, Douglas.",,,,1991,1991.,,St. John's :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,12 leaves.,,456427057,,,,,,,,,,YES,,,,,,,,,MEMORIAL-160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,compactselecteddimensionsoffriendship--1974,The Compact :,selected dimensions of friendship /,,,,,1974,1974.,,[St. John's] :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,"x, 162 p.","0919666086, 9780919666085","978212112, 1538811, 500430653, 869060314",,,YES,YES,YES,YES,YES,,YES,YES,YES,,YES,,YES,YES,YES,,BROCK-3 MEMORIAL-81 UBC-10 UALBERTA-3 LAVAL-27 MONTREAL-26 MCGILL-7 TORONTO-173 CONCORDIA-74 CALGARY-17 QUEENS-102 TORONTO-169 LAC-7,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
56,comparativesociologyoffriendship-leyt-1968,The comparative sociology of friendship.,,"Leyton, Elliott.",,,,1968,1968],,[St. John's :,,"Institute of Social and Economic Research, Memorial University of Newfoundland,",,1 volume (various pagings),,456331215,,,,,,,,,,YES,,,,,,,,,MEMORIAL-293,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
