ID,TITLE,TITLE_NORMALIZED,AUTHOR,EDITION,PUBLICATION_PLACE_AND_PUBLISHER,PUBLICATION_DATE,EXTENT,MATCHED_TITLES,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE_REMAINDER,AUTHOR_QUALIFIER,AUTHOR_DATE,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
3,Aananiarniq aananiaqatailimaniq /,,,,,,"ii, 352 p., [16] p. of plates :",,aananiarniqaananiaqatailimaniq--2001,,,,2001,c2001.,,"Iqaluit, Nunavut :",,"Silattuqsarvik [Language and Culture Program of Nunavut Arctic College, with the generous support of the Pairijait Tigummivik Elders Society],",,1896204333,49514198,,,,,,YES,,YES,,,,YES,,,YES,YES,,,MANITOBA-17 TORONTO-18 LAC-14 LAC-83 LAC-13 TORONTO-17 LAC-29 UALBERTA-51 OTTAWA-40 LAC-8 UALBERTA-56 LAC-82 LAC-30,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
6,Aksururnaqtut kinguniani :,,,,,,237 p. :,,aksururnaqtutkingunianikatiqsurniqinnarnitarviani--2010,katiqsurniq innarnit Arviani /,,,2010,c2010.,,"Iqaluit, Nunavut :",,"Nunavut Arctic College,",,"1896204724, 9781896204727",753224077,,,,,,YES,,,,,,,,,YES,,,,TORONTO-31 LAC-59,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
7,Annaumanirarniuniraqtavut :,,"Okpik, Abraham,",,,,359 p. :,,annaumanirarniuniraqtavutaivvalahauppikmissaanutunikkaat-okpi-2005,Aivvalaha Uppik missaanut unikkaat /,,1929-1997.,2005,2005.,,Iqaluit :,,"Nunavut Arctic College,",,"1896204759, 9781896204758","71538976, 811614816",,,,,,YES,,YES,,,,YES,,,,YES,,,LAC-38 UALBERTA-44 OTTAWA-46 MANITOBA-28,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
12,Archaeology glossary :,,"Stenton, Douglas Richard,",1997 ed.,,,"v, 91 p.",,archaeologyglossaryenglishinuktitutfrenchglossairedarcheologieanglaisinukti-sten-1997,English/Inuktitut/French = Glossaire d'archeologie : anglais/inuktitut/français /,,1953-,1997,1997.,,"Iqaluit, NT :",,"Nunavut Arctic College, Nunatta Campus,",,"189620418X, 9781896204185",61246235,,,,,,YES,,,,,,YES,,,,YES,,,UALBERTA-5 OTTAWA-30 LAC-45,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
13,Arnait nipingit :,,,2nd ed.,,,219 p. :,,arnaitnipingitinuitwomeninleadershipandgovernance--2010,Inuit women in leadership and governance /,,,2010,c2010.,,Iqaluit :,,"Language and Culture Program of Nunavut Arctic College,",,"1897568088, 9781897568088","1047746188, 978206996",,,,,,,,YES,,YES,YES,YES,,,YES,YES,,,MEMORIAL-27 TORONTO-37 UALBERTA-38 OTTAWA-7 MANITOBA-15 MONTREAL-17,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
17,Asijjirninga takunnaqtauninganna Kanata :,,"Amagoalik, John.",,,,232 p. :,,asijjirningatakunnaqtauningannakanataunikkaaqtuaqjaanamarualiuvmissaanut-amag-2007,unikkaaqtuaq Jaan Amarualiuv missaanut /,,,2007,c2007.,,"Iqaluit, NU :",,"Nunavut Arctic College,",,"1896204848, 9781896204840",318230799,,,,,,YES,,YES,YES,,YES,YES,YES,,,YES,,,LAC-46 UALBERTA-43 MANITOBA-37 OTTAWA-44 QUEENS-14 LAC-43 UALBERTA-40 MANITOBA-38 MCGILL-4 MONTREAL-9,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
19,Avatimik Kamattiarniq :,,"Hoffman, Jordan,",,,,"viii, 263 pages :",,avatimikkamattiarniqarcticecologyandenvironmentalstewardship-hoff-2016,Arctic ecology and environmental stewardship /,,,2016,,[2016];©2016,,"[Iqaluit, NU] :",,"Nunavut Arctic College,","1897568487, 9781897568484",1038733867,,,,,,,,,YES,YES,,,,,,YES,,,MEMORIAL-37 UALBERTA-50 MCGILL-2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
20,Between heaven and earth :,,,,,,"120 pages, 8 unnumbered pages of plates, 120 pages :",,betweenheavenandearththerecollectionsoffelixkupak--2012,the recollections of Felix Kupak /,,,2012,,2012.;©2012,,"Iqaluit, Nunavut :",,"Language and Culture Program of Nunavut Arctic College,","2921438879, 9782921438872","907310915, 932001859",2014481271.0,,,,,,,YES,,YES,YES,,,,YES,YES,,,MEMORIAL-13 TORONTO-11 UALBERTA-73 MANITOBA-69 MONTREAL-12,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
21,Birth on the land :,,"O'Brien, Beverley Ann Claire,",,,,"144, 144 pages :",,birthonthelandmemoriesofinuiteldersandtraditionalmidwives-obri-2012,memories of Inuit elders and traditional midwives /,,,2012,,[2012];©2012,,"[Arviat, Nunavut] :",,Nunavut Arctic College,"189756810X, 1897568185, 9781897568101, 9781897568187","966255620, 9781897568101, 832455850",,,,YES,,,,YES,YES,YES,,YES,,,,YES,,,MEMORIAL-26 CALGARY-5 UALBERTA-42 OTTAWA-12 MANITOBA-11 MCGILL-3,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3
22,"""""""The caribou taste different now"""" :""",,,,,,314 pages :,,cariboutastedifferentnowinuiteldersobserveclimatechange--2016,Inuit elders observe climate change /,,,2016,,[2016];©2016,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568398, 9781897568392",945583292,,,,,,YES,,YES,YES,YES,YES,YES,,,YES,YES,,,LAC-69 MCGILL-1 MEMORIAL-19 TORONTO-10 UALBERTA-46 OTTAWA-4 MANITOBA-33 MONTREAL-13,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
