ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
108,asceticismofthemindformsofattentionandselftransformationinlateantiquemonast-grai-2018,Asceticism of the mind :,forms of attention and self-transformation in late antique monasticism /,"Graiver, Inbar",,,,2018,,[2018];©2018,,"Toronto, Ontario, Canada :",,"Pontifical Institute of Mediaeval Studies,","x, 237 pages","0888442130, 9780888442130, 9781771103947","1054397703, 1090677928",,,,,,YES,,YES,,YES,YES,YES,,,YES,,YES,,LAC-1034 MEMORIAL-95 TORONTO-466 LAC-838 UBC-277 MANITOBA-86 MONTREAL-243 OTTAWA-368,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
114,atlanticcoastalgardeninggrowinginspiredresilientplantsbythesea-adam-2014,Atlantic coastal gardening :,"growing inspired, resilient plants by the sea /","Adams, Denise,",,1961-,,2014,,[2014];©2014,,"Halifax, NS :",,"Nimbus Publishing Ltd.,",231 pages :,"1771081449, 9781771081443",863074666,,,,,,YES,,,,,,,,,,,,,LAC-601 LAC-454,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
208,canada150panoramas-fisc-2017,Canada :,150 panoramas /,"Fischer, George,",,1954-,,2017,,[2017];©2017,,"Halifax, NS, Canada :",,"Nimbus Publishing Limited,","v, 169 pages :","1771084871, 9781771084871",966984026,,,,,,YES,,,,,,,,,,,,,LAC-862 LAC-678,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
211,canadaincolour-fisc-2013,Canada in colour /,,"Fischer, George,",,1954-,,2013,,[2013];©2013,,"Halifax, NS, Canada :",,"Nimbus Publishing,",346 pages :,"1771080647, 9781771080644",855947084,2013455509,,,,,YES,,,,,,,,,,,,,LAC-560 LAC-435,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
489,fathersmessageinabottlelovinglettersforlife--2014,Father's message in a bottle :,loving letters for life /,,,,,2014,,[2014];©2014,,"Halifax, NS :",,"Nimbus Publishing,","xic, 169 pages :","1771081961, 9781771081962",869584147,,,,,,YES,,,,,,,,,,,,,LAC-471 LAC-474,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
647,icelandreflectionsontheringroad-fisc-2015,Iceland :,reflections on the Ring Road /,"Fischer, George,",,1954-,,2015,,[2015];©2015,,"Halifax, NS :",,"Nimbus Publishing,",304 pages :,"1771083050, 9781771083058",899761968,2014481877,,,,,YES,,,,,,,,,,,,,LAC-693 LAC-538,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
739,lastcanadianknighttheunintendedbusinessadventuresofsirgrahamday-pitt-2017,The last Canadian knight :,the unintended business adventures of Sir Graham Day /,"Pitts, Gordon,",,,,2017,,[2017];©2017,,"Halifax, NS :",,"Nimbus Publishing,","x, 286 pages, 8 unnumbered pages of plates :","177108491X, 9781771084918, 9781771084925",969538032,2018404493,,,,,YES,,,YES,,,,,,,,,,MCGILL-324 LAC-691,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
807,littlebookofmanitoba-fisc-2018,The little book of Manitoba /,,"Fischer, George,",,1954-,,2018,,[2018];©2018,,"Halifax, NS :",,"Nimbus Publishing Ltd,",79 pages :,"1771086149, 9781771086141",1031048734,,,,,,YES,,,,,,,,,,,,,LAC-680 LAC-772,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
810,littlebookofnovascotia-wagg-2015,The little book of Nova Scotia /,,"Wagg, Len,",,,,2015,,[2015];©2015,,"Halifax, NS :",,"Nimbus Publishing Ltd.,",76 pages :,"1771082933, 9781771082938",897576582,,,,,,YES,,,,,,,,,,,,,LAC-1010 LAC-532,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
856,marymorrisonscapebretonchristmas-macd-2014,Mary Morrison's Cape Breton Christmas /,,"MacDonald, Bette,",,,,2014,,[2014],,"Halifax, NS :",,"Nimbus Publishing,",95 pages :,"1771082089, 9781771082082",881553102,,,,,,YES,,,YES,,,,,,,,,,LAC-578 MCGILL-172,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
1022,onkingshiptothekingofcyprus-thom-1949,"On kingship, to the King of Cyprus /",,"Thomas,",,1225?-1274.,,1949,1949.,,Toronto :,,"Pontifical Institute of Mediaeval Studies,",,"xxxix, 119 p.",9781570850004,"70409258, 982002, 216888756, 797053769, 1000128138, 52003782, 1087207784",52003782,,YES,YES,,YES,,,YES,YES,YES,YES,YES,,YES,YES,YES,YES,TORONTO-374 UALBERTA-169 MCGILL-202 MCGILL-201 MONTREAL-169 QUEENS-171 UBC-262 BROCK-14 MEMORIAL-315 TORONTO-69 LAC-357 UBC-292 CALGARY-154 WILFRIDLAURIER-27 OTTAWA-430 CALGARY-141 UALBERTA-169 MCGILL-202,11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
