ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
11,1885andafternativesocietyintransition--1986,1885 and after :,native society in transition /,,,,,1986,1986.,,Regina :,,"University of Regina, Canadian Plains Research Center,",,"xii, 306 p.","0889770425, 9780889770423","14183151, 1019815544, 397377104",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,CALGARY-512 ATHABASCA-19 BROCK-5 MEMORIAL-12 TORONTO-500 TORONTO-548 LAC-31 CALGARY-456 UALBERTA-44 CONCORDIA-15 LAVAL-7 MANITOBA-81 MCGILL-8 MONTREAL-6 QUEENS-49 WILFRIDLAURIER-38 OTTAWA-41,16,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
27,actoffaiththeearlyyearsofreginacollege-pits-1988,An act of faith :,the early years of Regina College /,"Pitsula, James M. (James Michael),",,1950-,,1988,c1988.,,Regina :,,"Canadian Plains Research Center,",,"xx, 169 p., [16] p. of plates :","0889770506, 9780889770508","23180340, 869058766",,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,CALGARY-272 ATHABASCA-28 MEMORIAL-196 TORONTO-88 TORONTO-216 LAC-69 CALGARY-264 UALBERTA-21 CONCORDIA-27 LAVAL-16 MANITOBA-204 MCGILL-26 MONTREAL-22 QUEENS-57 REGINA-1 WILFRIDLAURIER-109 OTTAWA-44 OTTAWA-146,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
51,albertapremiersofthetwentiethcentury--2004,Alberta premiers of the twentieth century /,,,,,,2004,2004.,,"Regina, Sask. :",,"Canadian Plains Research Center, University of Regina,",,"xiii, 298 pages :","0889771510, 9780889771512",55473537,2004463257,,,YES,,YES,,YES,,YES,,,YES,,YES,YES,,,MEMORIAL-221 LAC-165 CALGARY-203 UALBERTA-147 MANITOBA-110 CALGARY-478 MEMORIAL-220 TORONTO-482 LAC-171 CALGARY-128 UALBERTA-145 MANITOBA-174 QUEENS-100 CALGARY-180,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
55,allintogethergirlsskippingsongsfromreginasaskatchewan-cosb-1980,"All in together, girls :","skipping songs from Regina, Saskatchewan /","Cosbey, Robert C.",,,,1980,c1980.,,"[Regina, Sask.] :",,"Canadian Plains Research Center, University of Regina,",,"ix, 101 p. :","0317630400, 0889770166, 9780889770164","7926291, 1036136104, 1131333133",81134727,YES,,YES,,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,,CALGARY-388 ATHABASCA-12 MEMORIAL-198 TORONTO-464 LAC-18 LAC-390 CALGARY-412 UALBERTA-12 LAVAL-13 MANITOBA-130 MCGILL-24 QUEENS-42 REGINA-163,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
132,brandongeographicalperspectivesonthewheatcity--1988,Brandon :,geographical perspectives on the wheat city /,,,,1st ed.,1988,1988.,,Regina :,,"Canadian Plains Research Center,",,"xv, 224 p. :","0889770522, 9780889770522","17483305, 987701442, 397996401",,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,,CALGARY-471 ATHABASCA-32 MEMORIAL-34 TORONTO-111 TORONTO-246 TORONTO-550 LAC-55 CALGARY-169 UALBERTA-22 CONCORDIA-20 LAVAL-19 MANITOBA-10 MCGILL-38 QUEENS-155 REGINA-102 OTTAWA-159,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
140,buffaloroundupaselectedbibliography-arth-1985,A buffalo round-up :,a selected bibliography /,"Arthur, George W.",,,,1985,c1985.,,[Regina] :,,"Canadian Plains Research Center, University of Regina,",,"xiv, 153 p.","0889770360, 9780889770362",12692682,85170112,YES,,YES,,YES,,YES,YES,,,,YES,,YES,YES,,,CALGARY-91 ATHABASCA-17 TORONTO-247 LAC-27 CALGARY-453 UALBERTA-30 MANITOBA-57 MCGILL-10 QUEENS-8,8,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
146,buildingthecooperativecommonwealthessayonthedemocraticsocialisttraditioninc--1984,Building the co-operative commonwealth :,essay on the democratic socialist tradition in Canada /,,,,,1984,1984.,,"Regina, Sask. :",,"Canadian Plains Research Center, University of Regina,",,"xiii, 255 p. :",088977031X,13332023,,YES,YES,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,CALGARY-176 TORONTO-97 ATHABASCA-16 MEMORIAL-182 LAC-29 UALBERTA-31 MANITOBA-158 MCGILL-2 MONTREAL-2 QUEENS-3 REGINA-169 OTTAWA-152 BROCK-8 WILFRIDLAURIER-27 CALGARY-157,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
182,canadianvolunteersspain19361939-beec-1989,Canadian volunteers :,Spain 1936-1939 /,"Beeching, William.",,,,1989,1989.,,[Regina] :,,"Canadian Plains Research Center, University of Regina,",,"xliii, 212 pages, 16 unnumbered pages of plates :","0889770573, 9780889770577","19517663, 299441933",,,,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,CALGARY-63 MEMORIAL-20 TORONTO-32 LAC-61 CALGARY-208 UALBERTA-28 CONCORDIA-24 LAVAL-23 MANITOBA-44 MCGILL-45 QUEENS-13 REGINA-168 WILFRIDLAURIER-110 OTTAWA-58,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
245,correctionanhistoricalperspectiveofthesaskatchewanexperience-skin-1981,Correction :,an historical perspective of the Saskatchewan experience /,"Skinner, Shirley.",,,,1981,1981.,,Regina :,,"Canadian Plains Research Center, University of Regina,",,"xiii, 197 p. : ill. ; 23 cm.",0889770220,8694840,,YES,YES,YES,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,,YES,CALGARY-270 BROCK-3 QUEENS-184 WILFRIDLAURIER-22 OTTAWA-124 ATHABASCA-5 TORONTO-466 LAC-21 CALGARY-12 CALGARY-160 UALBERTA-17 MANITOBA-6 MCGILL-54 MONTREAL-16 REGINA-263,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
340,ethniccanadianscultureandeducation--1978,Ethnic Canadians :,culture and education /,,,,,1978,c1978.,,Regina :,,"Canadian Plains Research Center, University of Regina,",,495 p. :,"0889770093, 9780889770096",4134416,78315881,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,CALGARY-269 ATHABASCA-7 BROCK-1 MEMORIAL-153 TORONTO-546 LAC-6 CALGARY-10 UALBERTA-6 UALBERTA-77 CONCORDIA-5 MANITOBA-34 MCGILL-65 QUEENS-1 REGINA-3 WILFRIDLAURIER-11 OTTAWA-104 MONTREAL-11,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
