ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
136,armingthechinesethewesternarmamentstradeinwarlordchina19201928-chan-1982,Arming the Chinese :,"the western armaments trade in warlord China, 1920-1928 /","Chan, Anthony B.",,,,1982,c1982.,,Vancouver :,,"University of British Columbia Press,",,"xvi, 180 p. :","0774801573, 9780774801577",9163429,83124768,YES,YES,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,BROCK-1098 TORONTO-706 LAC-998 UALBERTA-939 CONCORDIA-595 REGINA-314 OTTAWA-1211 ATHABASCA-217 BROCK-507 MEMORIAL-653 TORONTO-2043 LAC-94 CALGARY-1545 UALBERTA-81 CONCORDIA-82 MANITOBA-407 MCGILL-104 QUEENS-309 WILFRIDLAURIER-341,12,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
414,canadiansbehindenemylines19391945-macl-1981,"Canadians behind enemy lines, 1939-1945 /",,"MacLaren, Roy.",,,,1981,c1981.,,Vancouver :,,"University of British Columbia Press,",,"xv, 330 p. :","0774801476, 0774801859, 9780774801478, 9780774801850","8211466, 15908176, 1131331531, 869158299",82130943,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,LAC-667 UALBERTA-601 LAVAL-144 MCGILL-209 REGINA-356 WILFRIDLAURIER-480 OTTAWA-448 ATHABASCA-297 TORONTO-1574 UBC-504 CALGARY-1080 ATHABASCA-51 BROCK-4 MEMORIAL-1214 TORONTO-762 TORONTO-839 LAC-188 UBC-30 CALGARY-584 UALBERTA-73 UALBERTA-324 CONCORDIA-74 LAVAL-145 MANITOBA-792 MCGILL-208 MONTREAL-543 QUEENS-306 REGINA-4 OTTAWA-298,18,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
555,comingofthespiritofpestilenceintroduceddiseasesandpopulationdeclineamongnor-boyd-1999,The coming of the spirit of pestilence :,"introduced diseases and population decline among Northwest Coast Indians, 1774-1874 /","Boyd, Robert,",,1945-,,1999,1999.,,Vancouver :,,"UBC Press,",,"xv, 403 p. :","0295978376, 0774807555, 9780295978376, 9780774807555","884026068, 1131310758",,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,CALGARY-1167 ATHABASCA-219 BROCK-872 LAC-1246 LAVAL-739 MEMORIAL-572 TORONTO-613 UBC-1278 UBC-1279 CALGARY-1347 UALBERTA-1255 CONCORDIA-251 MANITOBA-1095 MCGILL-1034 QUEENS-329 WILFRIDLAURIER-473 OTTAWA-1220,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
700,debateontheamericanrevolution-morg-2007,The debate on the American Revolution /,,"Morgan, Gwenda.",,,,2007,2007.,,"Manchester, UK ;;New York :;Vancouver, BC :",,"Manchester University Press ;;Distributed exclusively in Canada by UBC Press,",,"xv, 316 p.","0719052416, 0719052424, 9780719052415, 9780719052422",,,,,,,,,,,,,YES,YES,,YES,,YES,YES,TORONTO-1073 UBC-1328 QUEENS-271 WILFRIDLAURIER-696 OTTAWA-46 UBC-1350,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3
1155,goldatfortymilecreekearlydaysintheyukon-gate-1994,Gold at Fortymile Creek :,early days in the Yukon /,"Gates, Michael.",,,,1994,c1994.,,Vancouver :,,"UBC Press,",,"xv, 200 p. :","0774804688, 0774804920, 9780774804684, 9780774804929",30069250,,YES,YES,YES,,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,CALGARY-386 BROCK-419 MEMORIAL-128 TORONTO-504 LAC-339 UBC-345 CALGARY-724 UALBERTA-398 MANITOBA-306 MCGILL-468 QUEENS-590 REGINA-430 OTTAWA-693 ATHABASCA-189,12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
1213,haidamonumentalartthevillagesofthequeencharlotteislands-macd-1983,Haida monumental art :,the villages of the Queen Charlotte Islands /,"MacDonald, George F.",,,,1983,1983.,,Vancouver :,,"University of British Columbia Press,",,218 p. :,0774801557,9611554,,YES,YES,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,TORONTO-89 LAC-336 UALBERTA-276 BROCK-806 ATHABASCA-44 MEMORIAL-1149 TORONTO-1329 LAC-99 UBC-90 UBC-477 CALGARY-263 UALBERTA-91 MANITOBA-344 MCGILL-490 MONTREAL-363 QUEENS-470 REGINA-619 OTTAWA-801,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
1818,movingmountainsethnicityandlivelihoodinhighlandchinavietnamandlaos--2011,Moving mountains :,"ethnicity and livelihood in highland China, Vietnam, and Laos /",,,,,2011,,2011,,Vancouver :,,"UBC Press,",235 p. :,"0774818387, 9780774818384",1040354709,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,TORONTO-322 UBC-1195 LAVAL-490 REGINA-486 BROCK-56 MEMORIAL-985 TORONTO-328 LAC-1009 CALGARY-1480 UALBERTA-909 CONCORDIA-606 MANITOBA-887 MCGILL-688 QUEENS-741 OTTAWA-701 MONTREAL-727,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
1939,northernexposuresphotographingandfilmingthecanadiannorth192045-gell-2004,Northern exposures :,"photographing and filming the Canadian north, 1920-45 /","Geller, Peter G.","(Peter Geoffrey),",1963-,,2004,c2004.,,Vancouver :,,"UBC Press,",,"xviii, 258 p., [1] p. of plate :","0774809272, 0774809280, 9780774809276, 9780774809283",55596009,,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,CALGARY-1668 ATHABASCA-285 BROCK-1237 MEMORIAL-1452 TORONTO-1002 TORONTO-2226 LAC-648 UBC-1040 CALGARY-109 UALBERTA-567 CONCORDIA-352 MANITOBA-727 QUEENS-611 REGINA-239 WILFRIDLAURIER-583 OTTAWA-643,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2132,plainsindianrockart-keys-2001,Plains Indian rock art /,,"Keyser, James D.",,,,2001,,[2001],,"Seattle :;Vancouver, BC :",,"University of Washington Press ;;UBC Press,","xii, 332 pages :","029598094X, 0774808578, 9780295980942, 9780774808576","45243237, 1036140217",00051178,,YES,YES,,YES,,YES,YES,YES,,YES,,,YES,YES,YES,YES,CALGARY-1268 BROCK-230 MEMORIAL-365 TORONTO-1942 LAC-533 LAC-1496 UBC-968 CALGARY-1054 UALBERTA-472 MANITOBA-297 MCGILL-802 WILFRIDLAURIER-228 OTTAWA-1134,12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2781,theycallmefathermemoirsoffathernicolascoccola-cocc-1988,They call me Father :,memoirs of Father Nicolas Coccola /,"Coccola, Nicolas.",,,,1988,c1988.,,Vancouver :,,"University of British Columbia Press,",,"xi, 203 p., [16] p. of plates :","0774803134, 0774803967, 9780774803137, 9780774803960","18871588, 299431043, 1100286895",,YES,YES,YES,,YES,,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,CALGARY-291 ATHABASCA-131 BROCK-410 MEMORIAL-850 TORONTO-1564 LAC-218 UBC-250 CALGARY-1260 UALBERTA-137 MANITOBA-857 MCGILL-1188 MONTREAL-69 QUEENS-1083 WILFRIDLAURIER-28 OTTAWA-148 OTTAWA-1094,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
