ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
187,alimentationetvieillissement-ferl-2003,Alimentation et vieillissement /,,"Ferland, Guylaine,",,1957-,,2003,©2003.,,[Montréal] :,,"Presses de l'Université de Montréal,",,348 pages :,"276061851X, 9782760618510","50143823, 463929331",,,,YES,,YES,YES,,YES,,YES,,,,,YES,,,LAC-867 CALGARY-417 LAVAL-59 MCGILL-19 MONTREAL-3646 LAC-1295 CALGARY-380 LAVAL-60 MCGILL-20 MONTREAL-5086 LAC-736 CALGARY-3 UALBERTA-672 UALBERTA-676 LAVAL-58,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
366,anatomiefonctionnelledelappareillocomoteurosarticulationsmuscles-guay-1991,Anatomie fonctionnelle de l'appareil locomoteur :,"os, articulations, muscles /","Guay, Michel,",,1949-,,1991,1991.,,Montréal :,,"Presses de l'Université de Montréal,",,299 pages :,"2760615537, 9782760615533","25093856, 1131387304",,,,,,YES,YES,,,,YES,,,,,YES,,,LAC-421 LAC-451 MONTREAL-1014 LAC-397 UALBERTA-465 LAVAL-100,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
368,anatomiefonctionnelledelappareillocomoteurosarticulationsmuscles-guay-1993,Anatomie fonctionnelle de l'appareil locomoteur :,"os, articulations, muscles /","Guay, Michel,",,1949-,2e éd. rev. et corr.,1993,1993.,,Montréal :,,"Presses de l'Université de Montréal,",,299 pages :,"2760616177, 9782760616172",29312074,,,,,,YES,YES,,,,YES,,,,,YES,,,LAC-397 UALBERTA-465 LAVAL-100 LAC-421 LAC-1510 UALBERTA-323 LAC-451 MONTREAL-1014,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
369,anatomiefonctionnelledelappareillocomoteurosarticulationsmuscles-guay-1994,"Anatomie fonctionnelle de l'appareil locomoteur : os, articulations, muscles.",,"Guay, Michel,",,1949-,"2e éd., rev. et corr.",1994,1994.,,Montréal :,,"Presses de l'Université de Montréal,",,"204, [4] p. :","2760616150, 9782760616158",1006847095,,,,,,YES,,,,,YES,,,,,YES,,,LAC-451 MONTREAL-1014 LAC-1510 UALBERTA-323,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
514,architectureetinformation20--2017,Architecture et information 2.0 /,,,,,,2017,,2017.,,"Montréal, Québec :",,"Université de Montréal, Faculté de l'aménagement, École d'architecture,",191 pages :,"2981523422, 9782981523426",1035054781,,,,,,,,,,,YES,,,,,,,,MONTREAL-7481 MONTREAL-7428,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
712,bibliographiedespublicationsduservicedesarchives--1987,Bibliographie des publications du Service des archives /,,,,,"5e e?d. rev., corr. et augm.",1987,1987,,[Montre?al] :,,"Universite? de Montre?al, Division des archives historiques,",,17 pages,"2891190580, 9782891190589",18167208,,,,,,,YES,,,,YES,,,,YES,,,,TORONTO-1059 LAVAL-168 MONTREAL-657 LAVAL-167 MONTREAL-625,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3
1260,compterendu--1994,Compte rendu /,,,,,,1994,[1994?],,Montréal :,,"Université de Montréal, Dép. de géologie,",,730 pages :,"0662614593, 9780662614593",36693120,,,,,,,,,YES,,YES,,,,,,,,MONTREAL-1185 MONTREAL-1225 MCGILL-94,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
2809,ethniciteracismeetintegrationdesjeuneslediscoursdeleadersdoriginehaitienned-ther-1993,"Ethnicite?, racisme et inte?gration des jeunes. Le discours de leaders d'origine hai?tienne de la re?gion de Montre?al /",,"Therrien, Marthe,",,-1944,,1993,1993,,Montre?al :,,"Universite? du Que?bec a? Montre?al, De?partement de sociologie, Centre de recherche sur les relations interethniques et le racisme,",,84 p.,"2921600161, 9782921600163",757306901,,,,,,,YES,,,,,,,,,,,,LAVAL-619 LAVAL-620 LAVAL-621 LAVAL-618,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3966,ideologiedecouleuretclassessocialesenhaiti-labe-1978,Idéologie de couleur et classes sociales en Haïti /,,"Labelle, Micheline,",,1940-,,1978,1978.,,Montréal :,,"Presses de l'Université de Montréal,",,393 pages :,"0840504098, 9780840504098","5150495, 300945962",,,,YES,YES,YES,,,YES,YES,YES,,,,YES,YES,YES,,TORONTO-384 MEMORIAL-9 TORONTO-198 LAC-1081 UBC-7 CALGARY-372 UALBERTA-401 CONCORDIA-122 MCGILL-255 MONTREAL-4205,9,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
4135,initiationalastatistiqueetauxprobabilites-bert-1980,Initiation à la statistique et aux probabilités /,,"Bertaud, Marcel,",,1921-,,1980,1980.,,Montréal :,,"Presses de l'Université de Montréal,",,"xxiv, 333 pages :","276060506X, 9782760605060","15910813, 8411292",,,,,YES,YES,YES,,,,YES,,,,,YES,,,LAC-351 UALBERTA-459 LAVAL-916 MONTREAL-730 LAC-218 UALBERTA-503 CONCORDIA-559 MONTREAL-247,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
