ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
294,bilanqualitatifdelapprentissagedelalecturebqalmanueldelexaminateur-camp-1978,Bilan qualitatif de l'apprentissage de la lecture :,B.Q.A.L. : manuel de l'examinateur /,"Campeau-Filion, Francine,",,1949-,,1978,1978.,,Montréal :,,"Presses de l'Université du Québec,",,77 pages :,"0777002302, 9780777002308","15842730, 5487785",,,,,,YES,YES,,,,YES,,,,,YES,YES,,LAC-67 MONTREAL-955 LAC-40 UBC-18 UALBERTA-99 LAVAL-283 MONTREAL-14,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
778,dictionnairedesparticularitesdelusage-darb-1986,Dictionnaire des particularités de l'usage /,,"Darbelnet, Jean,",,1904-1990.,,1986,1986.,,"Sillery, Québec :",,"Presses de l'Université du Québec,",,215 pages,"2760503356, 9782760503359","15194307, 299399854",86197459,,,YES,YES,YES,YES,YES,,YES,YES,YES,YES,,YES,YES,YES,,LAC-145 CALGARY-863 UALBERTA-374 CONCORDIA-287 LAVAL-653 MANITOBA-103 QUEENS-379 OTTAWA-165 MEMORIAL-58 TORONTO-134 LAC-1040 UBC-34 UALBERTA-203 UALBERTA-230 LAVAL-652 MONTREAL-836 QUEENS-21 OTTAWA-1320,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
823,droitdutourismeauquebec-joli-2000,Droit du tourisme au Québec /,,"Jolin, Louis.",,,,2000,2000.,,Sainte-Foy :,,"Presses de l'Université du Québec,",,"xiv, 146 pages","2760510867, 9782760510869",44713215,,,,,,YES,YES,,YES,,YES,YES,,,,,,,LAC-740 LAVAL-684 MCGILL-166 MONTREAL-1021 OTTAWA-992 LAC-509 LAVAL-683 MCGILL-165 MONTREAL-364 OTTAWA-1361,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3
1069,etatdelevolutiondelasituationfinancierenouvelleperspective-fort-1987,État de l'évolution de la situation financière :,nouvelle perspective /,"Fortin, Anne,",,1955-,,1987,1987.,,Sillery :,,"Presses de l'Université du Québec,",,114 pages,"2760504379, 9782760504370",16577476,,,,,,YES,YES,,,,,,,,,,,,LAC-180 LAVAL-882 LAC-101 LAVAL-881,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
1090,ethniciteracismeetintegrationdesjeuneslediscoursdeleadersdoriginehaitienned-ther-1993,"Ethnicité, racisme et intégration des jeunes. Le discours de leaders d'origine haïtienne de la région de Montréal /",,"Therrien, Marthe",,,,1993,1993.,,"Montréal, Québec :",,"Université du Québec à Montréal, Département de sociologie, Centre de recherche sur les relations interethniques et le racisme,",,84 p.,"2921600161, 9782921600163","40748186, 757306901",,,,,,,YES,,,,,,,,YES,,,,TORONTO-1420 LAVAL-899 TORONTO-1069 LAVAL-900 TORONTO-1418 LAVAL-901 TORONTO-725 LAVAL-898,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1179,evaluationorthopedagogiquedelalectureetdelecrituredejeunesetudiantsadultes--2010,Évaluation orthopédagogique de la lecture et de l'écriture de jeunes étudiants adultes /,,,,,,2010,2010.,,Québec :,,"Presses de l'Université du Québec,",,5 volumes :,"2760525635, 9782760525634",633177384,,,,,,YES,YES,,,,YES,,,,,YES,,,LAVAL-976 LAC-1252 UALBERTA-989 LAVAL-975 MONTREAL-1056,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
1203,exercicespratiquesdefrancais-boss-1984,Exercices pratiques de français /,,"Bossé-Andrieu, J.","(Jacqueline),",1940-,2e éd. rev. et corr.,1984,1984.,,Sillery :,,"Presses de l'Université du Québec,",,"x, 176 pages","2760503623, 9782760503625",16034833,,,,,,YES,YES,,,,YES,YES,,,YES,,,,LAC-1873 LAC-69 TORONTO-1444 OTTAWA-1328 LAC-1251 LAVAL-995 MONTREAL-975,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
1384,gestiondesressourceshumainestypologiesetcomparaisonsinternationales-trem-2011,Gestion des ressources humaines :,typologies et comparaisons internationales /,"Tremblay, Diane-Gabrielle.",,,Nouv. éd.,2011,2011.,,Québec :,,"Presses de l'Université du Québec,",,350 p.,"2760533123, 9782760533127","751636747, 769751517",,,,YES,YES,YES,YES,,YES,,YES,YES,,,,YES,,,LAC-2043 CALGARY-89 LAVAL-1131 MONTREAL-1699 LAC-1399 CALGARY-317 UALBERTA-1059 CONCORDIA-370 LAVAL-1130 MCGILL-261 OTTAWA-489,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
1387,gestionfinanciereacourttermeetelementsdetheoriefinanciere-rass-2016,Gestion financière à court terme et éléments de théorie financière /,,"Rassi, Faouzi F.,",,1936-,,2016,,[2016];©2016,,Québec (Québec) :,,"Presses de l'Université du Québec,","xx, 528 pages :","2760543129, 9782760543126","907968144, 948775461",,,,YES,,YES,YES,,,,YES,,,,,YES,,,LAC-1868 CALGARY-720 UALBERTA-1406 LAVAL-1135 MONTREAL-1587 LAC-1718 CALGARY-350 UALBERTA-1307 LAVAL-1134,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
1450,guidedereflexionsurlesstrategiesdapprentissagealuniversiteactualisermonpote-ruph-2002,Guide de réflexion sur les stratégies d'apprentissage à l'université :,actualiser mon potentiel intellectuel pour des études de qualité /,"Ruph, François,",,1944-,,2002,2002.,,"Rouyn-Noranda, Québec :",,"Universite du Québec en Abitibi-Temiscamingue, Direction des relations avec la clientèle,",,76 pages :,"2920849727, 9782920849723",51274479,,,,,,YES,YES,,,,YES,YES,,,,YES,,,LAC-1318 UALBERTA-1031 LAVAL-1180 MONTREAL-1115 OTTAWA-183 LAVAL-1179,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3
