ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,Iteration,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
1,163256amemoirofresistance-engl-2007,163256 :,a memoir of resistance /,"Englishman, Michael,",,1921-,,2007,c2007.,,"Waterloo, Ont. :",,"Wilfrid Laurier University Press,",,"xv, 108 p. :","1554580095, 1554580099, 9781554580095","144602036, 871792181",,,YES,YES,YES,YES,,,YES,,,YES,YES,YES,YES,YES,YES,YES,BROCK-184 TORONTO-126 TORONTO-804 LAC-460 UBC-42 CALGARY-255 UALBERTA-395 CONCORDIA-255 MCGILL-4 QUEENS-539 REGINA-231 WILFRIDLAURIER-256 OTTAWA-354,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
2,1930europeintheshadowofthebeast-habe-2018,1930 :,Europe in the shadow of the beast /,"Haberman, Arthur,",,1938-,,2018,,[2018];©2018,,"Waterloo, Ontario :",,"Wilfrid Laurier University Press,","vii, 257 pages :","1771123613, 1771123621, 9781771123617, 9781771123624, 9781771123631","1010506533, 1087474034",,,YES,YES,,YES,,,,,,,,,YES,YES,,YES,BROCK-619 TORONTO-329 LAC-776 CALGARY-492 UALBERTA-680 WILFRIDLAURIER-297,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
3,aaronanovel-the_-2007,Aaron :,a novel /,"The_riault, Yves,",,1915-1983.,1st English-language ed.,2007,?2007.,,"Waterloo, Ont. :",,"Wilfrid Laurier University Press,",,126 p.,"1554580021, 9781554580026","123114301, 833427008",,,,YES,YES,YES,YES,YES,YES,,,,YES,,YES,YES,YES,YES,LAVAL-16 TORONTO-559 LAC-449 UBC-43 CALGARY-41 UALBERTA-405 CONCORDIA-248 MANITOBA-453 MCGILL-21 QUEENS-69 WILFRIDLAURIER-356,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
5,aboriginalpeoplesincanadiancitiestransformationsandcontinuities--2011,Aboriginal peoples in Canadian cities :,transformations and continuities /,,,,,2011,c2011.,,"Waterloo, Ont. :",,"Wilfrid Laurier University Press,",,"viii, 253 p. :","1554582601, 1554583144, 1554583454, 9781554582600, 9781554583140, 9781554583454","694268615, 777928564",,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,BROCK-397 MEMORIAL-20 TORONTO-42 TORONTO-336 LAC-567 UBC-58 UBC-60 CALGARY-103 UALBERTA-507 CONCORDIA-322 LAVAL-17 MANITOBA-433 MCGILL-22 QUEENS-391 REGINA-150 WILFRIDLAURIER-70 OTTAWA-205 OTTAWA-485 CALGARY-496,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
7,abuseorpunishmentviolencetowardschildreninquebecfamilies18501969-clic-2014,Abuse or punishment? :,"violence towards children in Quebec families, 1850-1969 /","Cliche, Marie-Aimée",,,,2014,,[2014];©2014,,"Waterloo, Ontario :",,"Wilfrid Laurier University Press,","xi, 394 pages :","1771120630, 1771120649, 1771120657, 9781771120630, 9781771120647, 9781771120654",879940849,,,YES,YES,,YES,,YES,YES,YES,,,,YES,YES,,,YES,BROCK-216 MEMORIAL-157 TORONTO-131 TORONTO-665 LAC-675 CALGARY-136 MANITOBA-424 MCGILL-23 REGINA-376 WILFRIDLAURIER-376,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
8,accidentoffateapersonalaccount19381945-roch-2011,Accident of fate :,"a personal account, 1938-1945 /","Rochlitz, Imre,",,1925-,,2011,c2011.,,"Waterloo, ON :",,"Wilfrid Laurier University Press,",,"xii, 223 p. :","0566092050, 1554582679, 1554583179, 9780566092053, 9781554582679, 9781554583171, 9781554583552","659241809, 3412997",,,YES,YES,,YES,,,YES,,,YES,YES,,YES,YES,,YES,BROCK-399 TORONTO-136 TORONTO-762 LAC-551 CALGARY-111 UALBERTA-518 MCGILL-24 QUEENS-192 WILFRIDLAURIER-660 OTTAWA-18,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
9,activatingtheheartstorytellingknowledgesharingandrelationship--2018,Activating the heart :,"storytelling, knowledge sharing, and relationship /",,,,,2018,,2018.,,"Waterloo, Ontario :",,"Wilfrid Laurier University Press,","xvii, 209 pages :","1771122196, 177112220X, 1771122218, 9781771122191, 9781771122207, 9781771122214",988155117,,YES,YES,YES,YES,YES,,,YES,,,YES,YES,,YES,YES,,YES,ATHABASCA-157 BROCK-317 TORONTO-533 LAC-767 CALGARY-193 UALBERTA-677 CONCORDIA-420 MCGILL-25 QUEENS-100 WILFRIDLAURIER-589 OTTAWA-238,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
10,afghanistantransitionunderthreat--2008,Afghanistan :,transition under threat /,,,,,2008,c2008.,,"[Waterloo, Ont.] :",,"Wilfrid Laurier University Press ;;Co-published with the Centre for International Governance Innovation,",,"xxxiv, 309 pages","1554580110, 9781554580118","181492128, 277193100",,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,MEMORIAL-374 TORONTO-192 LAC-473 UBC-49 CALGARY-734 UALBERTA-415 CONCORDIA-263 LAVAL-18 MANITOBA-470 MCGILL-26 MONTREAL-25 REGINA-242 WILFRIDLAURIER-460 OTTAWA-356 TORONTO-386,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
12,africasdeadliestconflictmediacoverageofthehumanitariandisasterinthecongo&th--2012,Africa's deadliest conflict :,"media coverage of the humanitarian disaster in the Congo & the United Nations response, 1997-2008 /",,,,,2012,2012.,,"Waterloo, Ont. :",,"Wilfrid Laurier University Press,",,"xix, 237 p.","1554588359, 9781554588350","806495710, 809003700",,,YES,YES,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,UBC-67 OTTAWA-673 BROCK-108 TORONTO-926 CALGARY-313 UALBERTA-554 QUEENS-94 REGINA-358 WILFRIDLAURIER-73 OTTAWA-324 MEMORIAL-354 LAC-608 CONCORDIA-348 MCGILL-27,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3
15,afterprisonnavigatingemploymentandreintegration--2017,After prison :,navigating employment and reintegration /,,,,,2017,,2017.;©2017.,,"Waterloo, Ontario :",,"Wilfrid Laurier University Press,","vi, 280 pages","1771123168, 1771123176, 9781771123167, 9781771123174, 9781771123181","974466434, 1026615600",,,YES,,,YES,,,,YES,YES,,YES,,YES,,,YES,BROCK-316 MEMORIAL-96 TORONTO-531 LAC-762 MONTREAL-283 QUEENS-199 WILFRIDLAURIER-391,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
